Client,ID,Order Status,User,Time,Date
ASB,O‑ASB‑00113190,In Process,TCAMARA,3:37:30 PM,7/29/2019
ASB,O‑ASB‑00113186,In Process,JHAROOTUNIAN,12:20:34 PM,7/29/2019
ASB,O‑ASB‑00113182,In Process,TCAMARA,7:52:58 AM,7/23/2019
ASB,O‑ASB‑00113179,In Process,JHAROOTUNIAN,8:51:17 AM,7/17/2019
ASB,O‑ASB‑00113176,In Process,JHAROOTUNIAN,11:54:27 AM,7/15/2019
ASB,O‑ASB‑00113173,In Process,JHAROOTUNIAN,12:24:44 PM,7/11/2019
ASB,O‑ASB‑00113171,In Process,JHAROOTUNIAN,10:33:59 AM,7/11/2019
ASB,O‑ASB‑00113169,In Process,JHAROOTUNIAN,9:45:32 AM,7/11/2019
ASB,O‑ASB‑00113166,In Process,TCAMARA,9:07:32 AM,7/5/2019
ASB,O‑ASB‑00113163,In Process,JHAROOTUNIAN,12:19:07 PM,7/1/2019
ASB,O‑ASB‑00113160,In Process,DBARNUM,4:38:57 PM,6/27/2019
ASB,O‑ASB‑00113157,In Process,DBARNUM,9:54:28 AM,6/24/2019
ASB,O‑ASB‑00113155,In Process,DBARNUM,5:27:13 PM,6/19/2019
ASB,O‑ASB‑00113152,In Process,JHAROOTUNIAN,3:48:03 PM,6/17/2019
ASB,O‑ASB‑00113144,In Process,TCAMARA,2:47:42 PM,6/12/2019
ASB,O‑ASB‑00113140,In Process,TCAMARA,2:43:23 PM,6/6/2019
ASB,O‑ASB‑00113134,In Process,JHAROOTUNIAN,2:37:01 PM,6/3/2019
ASB,O‑ASB‑00113131,In Process,JHAROOTUNIAN,9:39:55 AM,6/3/2019
ASB,O‑ASB‑00113128,In Process,JHAROOTUNIAN,9:21:33 AM,5/22/2019
ASB,O‑ASB‑00113125,In Process,JHAROOTUNIAN,8:56:36 AM,5/20/2019
ASB,O‑ASB‑00113121,In Process,JHAROOTUNIAN,7:52:21 AM,5/20/2019
ASB,O‑ASB‑00113119,In Process,Clayton,9:22:53 AM,5/19/2019
ASB,O‑ASB‑00113117,In Process,JHAROOTUNIAN,3:53:33 PM,5/17/2019
ASB,O‑ASB‑00113113,In Process,JHAROOTUNIAN,5:26:19 PM,5/15/2019
ASB,O‑ASB‑00113108,In Process,TCAMARA,4:24:03 PM,5/14/2019
ASB,O‑ASB‑00113104,In Process,DBARNUM,5:45:05 PM,5/6/2019
ASB,O‑ASB‑00113102,In Process,JHAROOTUNIAN,2:16:47 PM,4/23/2019
ASB,O‑ASB‑00113100,In Process,TCAMARA,4:35:33 PM,4/18/2019
ASB,O‑ASB‑00113096,In Process,JHAROOTUNIAN,9:38:20 AM,4/18/2019
ASB,O‑ASB‑00113093,In Process,JHAROOTUNIAN,9:02:41 AM,4/12/2019
ASB,O‑ASB‑00113087,In Process,JHAROOTUNIAN,9:06:57 AM,4/10/2019
ASB,O‑ASB‑00113083,In Process,TCAMARA,11:50:55 AM,4/9/2019
ASB,O‑ASB‑00113080,In Process,DBARNUM,2:01:12 PM,4/8/2019
ASB,O‑ASB‑00113076,In Process,TCAMARA,3:15:58 PM,4/4/2019
ASB,O‑ASB‑00113069,In Process,DBARNUM,2:12:52 PM,4/2/2019
ASB,O‑ASB‑00113065,In Process,TCAMARA,9:02:09 AM,3/29/2019
ASB,O‑ASB‑00113063,In Process,TCAMARA,8:48:03 AM,3/29/2019
ASB,O‑ASB‑00113056,In Process,TCAMARA,10:41:07 AM,3/25/2019
ASB,O‑ASB‑00113054,In Process,JHAROOTUNIAN,9:09:36 AM,3/19/2019
ASB,O‑ASB‑00113052,In Process,TCAMARA,4:21:38 PM,3/15/2019
ASB,O‑ASB‑00113048,In Process,JHAROOTUNIAN,11:38:42 AM,3/15/2019
ASB,O‑ASB‑00113045,In Process,JHAROOTUNIAN,9:05:18 AM,3/14/2019
ASB,O‑ASB‑00113041,In Process,DBARNUM,3:56:42 PM,3/6/2019
ASB,O‑ASB‑00113038,In Process,DBARNUM,1:44:42 PM,3/6/2019
ASB,O‑ASB‑00113036,In Process,DBARNUM,11:39:59 AM,3/6/2019
ASB,O‑ASB‑00113034,In Process,DBARNUM,3:08:32 PM,2/28/2019
ASB,O‑ASB‑00113032,In Process,JHAROOTUNIAN,4:31:28 PM,2/27/2019
ASB,O‑ASB‑00113030,In Process,DBARNUM,3:00:16 PM,2/22/2019
ASB,O‑ASB‑00113028,In Process,JHAROOTUNIAN,4:18:28 PM,2/14/2019
ASB,O‑ASB‑00113025,In Process,DBARNUM,4:42:00 PM,2/13/2019
ASB,O‑ASB‑00113022,In Process,DBARNUM,4:17:32 PM,2/1/2019
ASB,O‑ASB‑00113019,In Process,JHAROOTUNIAN,2:44:25 PM,1/29/2019
ASB,O‑ASB‑00113015,In Process,DBARNUM,10:56:40 AM,1/23/2019
ASB,O‑ASB‑00113013,In Process,JHAROOTUNIAN,2:42:34 PM,1/16/2019
ASB,O‑ASB‑00113011,In Process,DBARNUM,2:38:50 PM,1/9/2019
ASB,O‑ASB‑00113009,In Process,DBARNUM,12:08:10 PM,1/7/2019
ASB,O‑ASB‑00113007,In Process,DBARNUM,2:38:45 PM,1/3/2019
ASB,O‑ASB‑00113006,In Process,JHAROOTUNIAN,2:25:31 PM,1/3/2019
ASB,O‑ASB‑00113002,In Process,JHAROOTUNIAN,3:54:35 PM,12/12/2018
ASB,O‑ASB‑00112999,In Process,DBARNUM,3:40:18 PM,12/11/2018
ASB,O‑ASB‑00112996,In Process,JHAROOTUNIAN,12:36:23 PM,12/7/2018
ASB,O‑ASB‑00112994,In Process,JHAROOTUNIAN,3:11:24 PM,12/4/2018
ASB,O‑ASB‑00112991,In Process,JHAROOTUNIAN,2:10:57 PM,11/29/2018
ASB,O‑ASB‑00112989,In Process,JHAROOTUNIAN,1:09:44 PM,11/29/2018
ASB,O‑ASB‑00112986,In Process,DBARNUM,1:33:40 PM,11/28/2018
ASB,O‑ASB‑00112984,In Process,cfoster,12:29:29 PM,11/28/2018
ASB,O‑ASB‑00112976,In Process,DBARNUM,5:54:14 PM,11/19/2018
ASB,O‑ASB‑00112974,In Process,DBARNUM,5:37:36 PM,11/16/2018
ASB,O‑ASB‑00112972,In Process,JHAROOTUNIAN,12:53:13 PM,11/9/2018
ASB,O‑ASB‑00112969,In Process,JHAROOTUNIAN,8:46:30 AM,11/8/2018
ASB,O‑ASB‑00112967,In Process,JHAROOTUNIAN,1:19:43 PM,11/7/2018
ASB,O‑ASB‑00112963,In Process,DBARNUM,5:44:50 PM,11/6/2018
ASB,O‑ASB‑00112957,In Process,DBARNUM,4:16:00 PM,11/5/2018
ASB,O‑ASB‑00112955,In Process,JHAROOTUNIAN,12:15:58 PM,11/5/2018
ASB,O‑ASB‑00112953,In Process,JHAROOTUNIAN,9:37:36 AM,11/1/2018
ASB,O‑ASB‑00112609,In Process,MSoennerborg,1:39:50 PM,9/11/2017
ASB,O‑ASB‑00112606,In Process,MSoennerborg,11:13:19 AM,9/11/2017
ASB,O‑ASB‑00112604,In Process,JHAROOTUNIAN,12:51:50 PM,9/8/2017
ASB,O‑ASB‑00112601,In Process,JHAROOTUNIAN,9:41:16 AM,9/7/2017
ASB,O‑ASB‑00112599,In Process,JGOODMAN,2:31:22 PM,9/1/2017
ASB,O‑ASB‑00112597,In Process,JHAROOTUNIAN,11:43:33 AM,8/28/2017
ASB,O‑ASB‑00112595,In Process,MSoennerborg,10:40:00 AM,8/21/2017
ASB,O‑ASB‑00112592,In Process,JHAROOTUNIAN,1:13:30 PM,8/16/2017
ASB,O‑ASB‑00112590,In Process,JHAROOTUNIAN,12:12:11 PM,8/16/2017
ASB,O‑ASB‑00112588,In Process,MSoennerborg,11:21:12 AM,8/16/2017
ASB,O‑ASB‑00112586,In Process,JGOODMAN,3:53:02 PM,8/11/2017
ASB,O‑ASB‑00112582,In Process,JHAROOTUNIAN,5:33:00 PM,8/10/2017
ASB,O‑ASB‑00112579,In Process,JGOODMAN,11:32:21 AM,8/3/2017
ASB,O‑ASB‑00102576,In Process,JHAROOTUNIAN,2:37:53 PM,8/1/2017
ASB,O‑ASB‑00102568,In Process,JHAROOTUNIAN,3:51:57 PM,7/27/2017
ASB,O‑ASB‑00102565,In Process,JGOODMAN,2:37:47 PM,7/21/2017
ASB,O‑ASB‑00102557,In Process,MSoennerborg,3:54:16 PM,7/6/2017
ASB,O‑ASB‑00102555,In Process,JGOODMAN,10:17:52 AM,7/5/2017
