Client,ID,Order Status,User,Time,Date
FXFowle,O‑FXF‑00021425,In Process,pivan,3:10:14 PM,7/8/2019
FXFowle,O‑FXF‑00021422,In Process,pivan,10:04:28 AM,7/3/2019
FXFowle,O‑FXF‑00021419,In Process,Clayton,9:27:50 AM,5/19/2019
FXFowle,O‑FXF‑00021417,In Process,pivan,5:11:29 PM,4/8/2019
FXFowle,O‑FXF‑00021413,In Process,pivan,5:02:49 PM,3/20/2019
FXFowle,O‑FXF‑00021410,In Process,pivan,10:40:03 AM,3/12/2019
FXFowle,O‑FXF‑00021408,In Process,pivan,4:56:08 PM,2/28/2019
FXFowle,O‑FXF‑00021404,In Process,pivan,3:12:38 PM,11/27/2018
FXFowle,O‑FXF‑00021397,In Process,pivan,11:07:26 AM,10/30/2018
FXFowle,O‑FXF‑00021382,In Process,pivan,11:24:08 AM,8/14/2018
FXFowle,O‑FXF‑00021372,In Process,pivan,4:35:18 PM,6/7/2018
FXFowle,O‑FXF‑00021368,In Process,tchin,12:23:36 PM,4/18/2018
FXFowle,O‑FXF‑00021355,In Process,pivan,3:28:20 PM,4/17/2018
FXFowle,O‑FXF‑00021352,In Process,pivan,12:11:16 PM,4/17/2018
FXFowle,O‑FXF‑00021348,In Process,pivan,4:42:31 PM,2/22/2018
FXFowle,O‑FXF‑00021346,In Process,pivan,3:58:11 PM,1/25/2018
FXFowle,O‑FXF‑00021342,In Process,aabel,12:23:22 PM,1/8/2018
FXFowle,O‑FXF‑00021340,In Process,pivan,4:06:55 PM,9/7/2017
FXFowle,O‑FXF‑00021338,In Process,pivan,12:44:14 PM,7/18/2017
FXFowle,O‑FXF‑00021336,In Process,pivan,11:17:23 AM,7/10/2017
FXFowle,O‑FXF‑00021332,In Process,pivan,9:34:23 AM,7/6/2017
FXFowle,O‑FXF‑00021329,In Process,pivan,4:43:16 PM,6/20/2017
FXFowle,O‑FXF‑00021326,In Process,pivan,1:37:54 PM,6/6/2017
FXFowle,O‑FXF‑00021312,In Process,pivan,9:46:47 AM,5/17/2017
FXFowle,O‑FXF‑00021310,In Process,pivan,3:21:53 PM,5/16/2017
FXFowle,O‑FXF‑00021308,In Process,pivan,9:39:46 AM,5/15/2017
FXFowle,O‑FXF‑00021304,In Process,pivan,1:29:58 PM,4/3/2017
FXFowle,O‑FXF‑00021302,In Process,pivan,12:20:57 PM,3/23/2017
FXFowle,O‑FXF‑00021299,In Process,pivan,10:32:21 AM,2/28/2017
FXFowle,O‑FXF‑00021294,In Process,pivan,4:00:18 PM,1/11/2017
FXFowle,O‑FXF‑00021290,In Process,pivan,12:17:53 PM,11/21/2016
FXFowle,O‑FXF‑00021286,In Process,pivan,9:49:28 AM,11/17/2016
FXFowle,O‑FXF‑00021283,In Process,pivan,3:24:52 PM,10/28/2016
FXFowle,O‑FXF‑00021279,In Process,pivan,8:53:51 AM,10/26/2016
FXFowle,O‑FXF‑00021277,In Process,pivan,3:14:37 PM,10/7/2016
FXFowle,O‑FXF‑00021272,In Process,pivan,10:50:58 AM,9/28/2016
FXFowle,O‑FXF‑00021269,In Process,pivan,2:52:14 PM,9/2/2016
FXFowle,O‑FXF‑00021266,In Process,pivan,3:43:00 PM,8/31/2016
FXFowle,O‑FXF‑00021264,In Process,pivan,3:41:54 PM,8/29/2016
FXFowle,O‑FXF‑00021261,In Process,pivan,4:26:16 PM,8/16/2016
FXFowle,O‑FXF‑00021258,In Process,pivan,5:10:26 PM,8/10/2016
FXFowle,O‑FXF‑00021255,In Process,pivan,10:59:49 AM,8/1/2016
FXFowle,O‑FXF‑00021252,In Process,pivan,11:41:41 AM,7/26/2016
FXFowle,O‑FXF‑00021247,In Process,pivan,1:40:53 PM,6/24/2016
FXFowle,O‑FXF‑00021244,In Process,pivan,10:48:44 AM,6/24/2016
FXFowle,O‑FXF‑00021216,In Process,pivan,1:59:35 PM,5/11/2016
FXFowle,O‑FXF‑00011215,In Process,pivan,2:16:06 PM,4/1/2016
FXFowle,O‑FXF‑00001211,In Process,pivan,5:24:31 PM,3/29/2016
FXFowle,O‑FXF‑00001205,In Process,pivan,11:07:00 AM,3/2/2016
FXFowle,O‑FXF‑00001202,In Process,pivan,9:03:24 AM,3/1/2016
FXFowle,O‑FXF‑00001188,In Process,pivan,10:14:26 AM,1/11/2016
FXFowle,O‑FXF‑00001157,In Process,pivan,4:14:36 PM,10/21/2015
FXFowle,O‑FXF‑00001155,In Process,pivan,11:49:10 AM,10/20/2015
FXFowle,O‑FXF‑00001151,In Process,pivan,9:31:46 AM,9/16/2015
FXFowle,O‑FXF‑00001149,In Process,pivan,9:26:56 AM,8/13/2015
FXFowle,O‑FXF‑00001147,In Process,pivan,2:57:08 PM,7/7/2015
FXFowle,O‑FXF‑00001144,In Process,pivan,2:08:48 PM,6/24/2015
FXFowle,O‑FXF‑00001140,In Process,pivan,2:47:10 PM,6/18/2015
FXFowle,O‑FXF‑00001137,In Process,pivan,4:31:44 PM,5/20/2015
FXFowle,O‑FXF‑00001133,In Process,pivan,1:05:22 PM,4/17/2015
FXFowle,O‑FXF‑00001131,In Process,pivan,11:35:28 AM,4/10/2015
FXFowle,O‑FXF‑00001127,In Process,pivan,12:31:34 PM,1/16/2015
FXFowle,O‑FXF‑00001125,In Process,pivan,4:24:04 PM,11/21/2014
FXFowle,O‑FXF‑00001119,In Process,pivan,11:38:37 AM,9/26/2014
FXFowle,O‑FXF‑00001117,In Process,pivan,1:13:16 PM,8/26/2014
FXFowle,O‑FXF‑00001113,In Process,pivan,11:23:15 AM,8/4/2014
FXFowle,O‑FXF‑00001108,In Process,pivan,3:56:25 PM,7/24/2014
FXFowle,O‑FXF‑00001105,In Process,pivan,5:24:18 PM,7/16/2014
FXFowle,O‑FXF‑00001099,In Process,pivan,11:39:05 AM,5/16/2014
FXFowle,O‑FXF‑00001093,In Process,pivan,9:27:40 AM,3/28/2014
FXFowle,O‑FXF‑00001091,In Process,pivan,4:55:53 PM,3/27/2014
FXFowle,O‑FXF‑00001086,In Process,pivan,12:14:58 PM,3/17/2014
FXFowle,O‑FXF‑00001082,In Process,pivan,4:54:26 PM,2/10/2014
