Client,ID,Order Status,User,Time,Date
Fluid,O‑FI‑00021387,In Process,natalia,4:28:47 PM,7/24/2018
Fluid,O‑FI‑00021372,In Process,natalia,1:54:26 PM,6/8/2018
Fluid,O‑FI‑00021361,In Process,natalia,4:16:24 PM,1/18/2017
Fluid,O‑FI‑00011330,In Process,natalia,1:54:35 PM,3/29/2016
Fluid,O‑FI‑00011325,In Process,natalia,4:28:54 PM,3/7/2016
Fluid,O‑FI‑00011323,In Process,natalia,3:55:19 PM,3/7/2016
Fluid,O‑FI‑00011314,In Process,natalia,7:23:31 PM,1/12/2016
Fluid,O‑FI‑00011307,In Process,natalia,3:22:20 PM,9/17/2015
Fluid,O‑FI‑00011288,In Process,natalia,5:30:02 PM,6/8/2015
Fluid,O‑FI‑00011252,In Process,natalia,5:19:29 PM,2/25/2015
Fluid,O‑FI‑00011240,In Process,natalia,2:48:14 PM,9/18/2014
Fluid,O‑FI‑00001227,In Process,natalia,2:40:09 PM,7/30/2014
Fluid,O‑FI‑00001193,In Process,natalia,4:53:18 PM,2/25/2014
