Client,ID,Order Status,User,Time,Date
Hirtle,O‑HC‑00021377,In Process,HIRTLECALLAGHAN,8:56:55 AM,6/20/2019
Hirtle,O‑HC‑00021375,In Process,HIRTLECALLAGHAN,3:02:13 PM,6/10/2019
Hirtle,O‑HC‑00021372,In Process,HIRTLECALLAGHAN,2:31:47 PM,5/20/2019
Hirtle,O‑HC‑00021368,In Process,Clayton,9:32:14 AM,5/19/2019
Hirtle,O‑HC‑00021359,In Process,HIRTLECALLAGHAN,3:18:54 PM,4/18/2019
Hirtle,O‑HC‑00021354,In Process,HIRTLECALLAGHAN,2:29:49 PM,2/19/2019
Hirtle,O‑HC‑00021352,In Process,HIRTLECALLAGHAN,4:11:27 PM,2/8/2019
Hirtle,O‑HC‑00021350,In Process,HIRTLECALLAGHAN,11:38:40 AM,2/1/2019
Hirtle,O‑HC‑00021346,In Process,HIRTLECALLAGHAN,9:18:16 AM,11/20/2018
Hirtle,O‑HC‑00021344,In Process,HIRTLECALLAGHAN,4:35:08 PM,11/12/2018
Hirtle,O‑HC‑00021339,In Process,HIRTLECALLAGHAN,3:36:35 PM,10/1/2018
Hirtle,O‑HC‑00021334,In Process,HIRTLECALLAGHAN,2:21:17 PM,9/19/2018
Hirtle,O‑HC‑00021332,In Process,HIRTLECALLAGHAN,3:59:12 PM,9/18/2018
Hirtle,O‑HC‑00021328,In Process,HIRTLECALLAGHAN,2:48:56 PM,9/11/2018
Hirtle,O‑HC‑00021312,In Process,HIRTLECALLAGHAN,9:39:44 AM,6/13/2018
Hirtle,O‑HC‑00021307,In Process,HIRTLECALLAGHAN,12:32:40 PM,5/25/2018
Hirtle,O‑HC‑00021300,In Process,HIRTLECALLAGHAN,8:42:20 AM,5/9/2018
Hirtle,O‑HC‑00021298,In Process,HIRTLECALLAGHAN,9:36:09 AM,4/13/2018
Hirtle,O‑HC‑00021294,In Process,HIRTLECALLAGHAN,11:56:19 AM,2/9/2018
Hirtle,O‑HC‑00021288,In Process,HIRTLECALLAGHAN,2:51:35 PM,1/26/2018
Hirtle,O‑HC‑00021286,In Process,HIRTLECALLAGHAN,2:31:12 PM,1/12/2018
Hirtle,O‑HC‑00021284,In Process,HIRTLECALLAGHAN,4:58:37 PM,1/9/2018
Hirtle,O‑HC‑00021282,In Process,HIRTLECALLAGHAN,4:30:33 PM,1/9/2018
Hirtle,O‑HC‑00021278,In Process,HIRTLECALLAGHAN,1:22:34 PM,12/19/2017
Hirtle,O‑HC‑00021271,In Process,HIRTLECALLAGHAN,12:18:59 PM,10/10/2017
Hirtle,O‑HC‑00021269,In Process,HIRTLECALLAGHAN,11:10:30 AM,10/6/2017
Hirtle,O‑HC‑00021267,In Process,HIRTLECALLAGHAN,10:10:46 AM,10/6/2017
Hirtle,O‑HC‑00021259,In Process,HIRTLECALLAGHAN,1:57:02 PM,8/28/2017
Hirtle,O‑HC‑00011257,In Process,HIRTLECALLAGHAN,2:28:32 PM,8/2/2017
Hirtle,O‑HC‑00011255,In Process,HIRTLECALLAGHAN,10:29:12 AM,8/2/2017
Hirtle,O‑HC‑00011253,In Process,HIRTLECALLAGHAN,10:46:25 AM,7/24/2017
Hirtle,O‑HC‑00011246,In Process,HIRTLECALLAGHAN,10:38:51 AM,5/16/2017
Hirtle,O‑HC‑00011236,In Process,HIRTLECALLAGHAN,3:25:25 PM,4/18/2017
Hirtle,O‑HC‑00011233,In Process,HIRTLECALLAGHAN,11:12:48 AM,2/28/2017
Hirtle,O‑HC‑00011231,In Process,HIRTLECALLAGHAN,12:24:02 PM,2/24/2017
Hirtle,O‑HC‑00011224,In Process,HIRTLECALLAGHAN,3:33:14 PM,1/26/2017
Hirtle,O‑HC‑00011222,In Process,HIRTLECALLAGHAN,3:48:01 PM,1/19/2017
Hirtle,O‑HC‑00011220,In Process,HIRTLECALLAGHAN,9:30:38 AM,1/18/2017
Hirtle,O‑HC‑00011217,In Process,HIRTLECALLAGHAN,12:09:07 PM,12/16/2016
Hirtle,O‑HC‑00011211,In Process,HIRTLECALLAGHAN,2:48:09 PM,12/5/2016
Hirtle,O‑HC‑00011209,In Process,HIRTLECALLAGHAN,12:12:20 PM,12/5/2016
