Client,ID,Order Status,User,Time,Date
Moelis,O‑MCO‑00114707,In Process,Clayton,3:49:45 PM,9/26/2018
Moelis,O‑MCO‑00114705,In Process,eburgos,8:54:44 AM,8/1/2018
Moelis,O‑MCO‑00114700,In Process,Clayton,12:27:27 PM,7/26/2018
Moelis,O‑MCO‑00114693,In Process,eburgos,1:43:51 PM,7/23/2018
Moelis,O‑MCO‑00114691,In Process,eburgos,3:33:42 PM,7/20/2018
Moelis,O‑MCO‑00114686,In Process,eburgos,10:30:44 AM,7/16/2018
Moelis,O‑MCO‑00114684,In Process,eburgos,10:07:55 AM,7/16/2018
Moelis,O‑MCO‑00114677,In Process,eburgos,4:59:26 PM,7/6/2018
Moelis,O‑MCO‑00114673,In Process,eburgos,5:23:12 PM,7/2/2018
Moelis,O‑MCO‑00114671,In Process,eburgos,5:05:40 PM,6/27/2018
Moelis,O‑MCO‑00114669,In Process,Clayton,4:03:13 PM,6/21/2018
Moelis,O‑MCO‑00114667,In Process,eburgos,5:06:01 PM,6/20/2018
Moelis,O‑MCO‑00114665,In Process,eburgos,10:14:57 AM,6/20/2018
Moelis,O‑MCO‑00114660,In Process,Clayton,8:23:02 AM,6/5/2018
Moelis,O‑MCO‑00114656,In Process,eburgos,12:42:14 PM,6/4/2018
Moelis,O‑MCO‑00114648,In Process,Clayton,8:37:42 AM,5/25/2018
Moelis,O‑MCO‑00114644,In Process,eburgos,9:50:44 AM,5/21/2018
Moelis,O‑MCO‑00114642,In Process,eburgos,9:44:31 AM,5/21/2018
Moelis,O‑MCO‑00114640,In Process,eburgos,10:07:51 AM,5/18/2018
Moelis,O‑MCO‑00114631,In Process,Clayton,6:17:35 PM,5/14/2018
Moelis,O‑MCO‑00114622,In Process,eburgos,5:13:34 PM,5/3/2018
Moelis,O‑MCO‑00114616,In Process,eburgos,5:21:49 PM,4/27/2018
Moelis,O‑MCO‑00114610,In Process,eburgos,12:53:27 PM,4/24/2018
Moelis,O‑MCO‑00114607,In Process,eburgos,9:50:59 AM,4/18/2018
Moelis,O‑MCO‑00114601,In Process,eburgos,5:18:46 PM,4/12/2018
Moelis,O‑MCO‑00114599,In Process,eburgos,3:59:02 PM,4/11/2018
Moelis,O‑MCO‑00114593,In Process,eburgos,4:26:42 PM,4/3/2018
Moelis,O‑MCO‑00114591,In Process,eburgos,2:49:55 PM,3/26/2018
Moelis,O‑MCO‑00114588,In Process,eburgos,11:12:20 AM,3/20/2018
Moelis,O‑MCO‑00114583,In Process,eburgos,9:04:56 AM,3/14/2018
Moelis,O‑MCO‑00114579,In Process,eburgos,11:44:46 AM,3/13/2018
Moelis,O‑MCO‑00114577,In Process,eburgos,1:58:34 PM,3/12/2018
Moelis,O‑MCO‑00114575,In Process,eburgos,11:06:20 PM,3/7/2018
Moelis,O‑MCO‑00114568,In Process,eburgos,9:48:23 AM,3/6/2018
Moelis,O‑MCO‑00114566,In Process,Clayton,3:27:44 PM,3/2/2018
Moelis,O‑MCO‑00114564,In Process,eburgos,4:24:56 PM,3/1/2018
Moelis,O‑MCO‑00114562,In Process,eburgos,3:23:55 PM,3/1/2018
Moelis,O‑MCO‑00114556,In Process,eburgos,4:50:24 PM,2/22/2018
Moelis,O‑MCO‑00114552,In Process,eburgos,4:57:49 PM,2/21/2018
Moelis,O‑MCO‑00114546,In Process,eburgos,10:53:18 AM,2/15/2018
Moelis,O‑MCO‑00114543,In Process,eburgos,5:15:30 PM,2/13/2018
Moelis,O‑MCO‑00114539,In Process,eburgos,3:30:57 PM,2/12/2018
Moelis,O‑MCO‑00114535,In Process,Clayton,3:28:03 PM,2/7/2018
Moelis,O‑MCO‑00114533,In Process,Clayton,7:29:33 AM,2/7/2018
Moelis,O‑MCO‑00114528,In Process,eburgos,10:16:54 AM,1/29/2018
Moelis,O‑MCO‑00114526,In Process,Clayton,5:08:33 PM,1/25/2018
Moelis,O‑MCO‑00114524,In Process,eburgos,8:33:07 AM,1/23/2018
Moelis,O‑MCO‑00114522,In Process,eburgos,5:13:31 PM,1/22/2018
Moelis,O‑MCO‑00114517,In Process,eburgos,12:35:46 PM,1/10/2018
