Client,ID,Order Status,User,Time,Date
Paul-Weiss,O‑PWR‑00001090,In Process,tcook,11:09:11 AM,9/20/2018
Paul-Weiss,O‑PWR‑00001081,In Process,jcorallo,3:30:08 PM,2/8/2018
Paul-Weiss,O‑PWR‑00001077,In Process,jcorallo,4:29:54 PM,1/11/2018
Paul-Weiss,O‑PWR‑00001075,In Process,jcorallo,4:27:20 PM,1/11/2018
Paul-Weiss,O‑PWR‑00001073,In Process,acasnova,3:03:26 PM,1/9/2018
Paul-Weiss,O‑PWR‑00001069,In Process,Clayton,2:49:47 PM,1/9/2018
Paul-Weiss,O‑PWR‑00001066,In Process,Clayton,2:38:01 PM,1/9/2018
Paul-Weiss,O‑PWR‑00001064,In Process,Clayton,2:28:57 PM,1/9/2018
Paul-Weiss,O‑PWR‑00001062,In Process,cjames,2:19:29 PM,1/9/2018
Paul-Weiss,O‑PWR‑00001059,In Process,jcorallo,2:57:03 PM,1/8/2018
Paul-Weiss,O‑PWR‑00001053,In Process,Clayton,1:53:08 PM,12/29/2017
Paul-Weiss,O‑PWR‑00001051,In Process,Clayton,1:20:42 PM,12/29/2017
Paul-Weiss,O‑PWR‑00001049,In Process,Clayton,11:46:16 AM,12/29/2017
Paul-Weiss,O‑PWR‑00001047,In Process,Clayton,11:36:21 AM,12/29/2017
Paul-Weiss,O‑PWR‑00001045,In Process,Clayton,11:24:28 AM,12/29/2017
Paul-Weiss,O‑PWR‑00001041,In Process,Clayton,3:11:01 PM,12/28/2017
Paul-Weiss,O‑PWR‑00001037,In Process,Clayton,2:48:14 PM,12/28/2017
Paul-Weiss,O‑PWR‑00001016,In Process,Clayton,9:49:04 AM,12/14/2017
Paul-Weiss,O‑PWR‑00001014,In Process,Clayton,4:39:16 PM,12/6/2017
Paul-Weiss,O‑PWR‑00001008,In Process,PaulWeiss,12:26:04 PM,12/1/2017
