Client,ID,Order Status,User,Time,Date
UBS,O‑UBS‑00043367,In Process,mberry,8:39:03 AM,8/2/2019
UBS,O‑UBS‑00043365,In Process,vwong,11:12:06 AM,7/29/2019
UBS,O‑UBS‑00043358,In Process,ecorrea,12:27:19 PM,7/19/2019
UBS,O‑UBS‑00043356,In Process,ecorrea,2:36:14 PM,7/5/2019
UBS,O‑UBS‑00043354,In Process,mberry,12:34:59 PM,6/25/2019
UBS,O‑UBS‑00043352,In Process,ecorrea,2:00:25 PM,6/24/2019
UBS,O‑UBS‑00043350,In Process,ecorrea,1:45:59 PM,6/24/2019
UBS,O‑UBS‑00043346,In Process,vyuen,2:27:47 PM,6/20/2019
UBS,O‑UBS‑00043340,In Process,ecorrea,5:26:36 PM,6/6/2019
UBS,O‑UBS‑00043338,In Process,vwong,12:45:33 PM,6/3/2019
UBS,O‑UBS‑00043317,In Process,vyuen,12:43:32 PM,5/17/2019
UBS,O‑UBS‑00043313,In Process,ecorrea,12:35:16 PM,5/14/2019
UBS,O‑UBS‑00043311,In Process,ecorrea,3:10:06 PM,5/13/2019
UBS,O‑UBS‑00043309,In Process,mberry,11:57:11 AM,5/8/2019
UBS,O‑UBS‑00043307,In Process,ecorrea,7:13:59 PM,5/3/2019
UBS,O‑UBS‑00043305,In Process,ecorrea,7:06:25 PM,5/3/2019
UBS,O‑UBS‑00043302,In Process,ecorrea,7:02:12 PM,5/3/2019
UBS,O‑UBS‑00043298,In Process,mberry,12:12:27 PM,4/24/2019
UBS,O‑UBS‑00043296,In Process,ecorrea,1:35:00 PM,4/15/2019
UBS,O‑UBS‑00043292,In Process,ecorrea,4:03:20 PM,4/1/2019
UBS,O‑UBS‑00043290,In Process,ecorrea,3:42:23 PM,4/1/2019
UBS,O‑UBS‑00043288,In Process,vwong,12:41:14 PM,3/29/2019
UBS,O‑UBS‑00043286,In Process,ecorrea,4:12:24 PM,3/20/2019
UBS,O‑UBS‑00043284,In Process,mberry,4:05:42 PM,3/19/2019
UBS,O‑UBS‑00043282,In Process,ecorrea,7:13:39 PM,3/11/2019
UBS,O‑UBS‑00043272,In Process,ecorrea,5:46:50 PM,3/8/2019
UBS,O‑UBS‑00043270,In Process,ecorrea,5:42:46 PM,3/8/2019
UBS,O‑UBS‑00043267,In Process,vyuen,1:09:09 PM,3/8/2019
UBS,O‑UBS‑00043263,In Process,vwong,11:29:56 AM,2/26/2019
UBS,O‑UBS‑00043261,In Process,ecorrea,1:21:01 PM,2/22/2019
