Client,ID,Order Status,User,Time,Date
Viacom,O‑VIA‑00021268,In Process,tkoslow,9:34:39 AM,7/23/2019
Viacom,O‑VIA‑00021264,In Process,tkoslow,10:46:45 AM,7/9/2019
Viacom,O‑VIA‑00021260,In Process,tkoslow,6:18:33 PM,3/15/2019
Viacom,O‑VIA‑00021256,In Process,jbrokofsky,12:02:18 PM,6/11/2018
Viacom,O‑VIA‑00021254,In Process,jbrokofsky,12:01:48 PM,6/11/2018
Viacom,O‑VIA‑00021238,In Process,rrobles,11:13:05 AM,8/30/2017
Viacom,O‑VIA‑00021168,In Process,rrobles,6:48:40 PM,6/15/2017
Viacom,O‑VIA‑00021164,In Process,rrobles,12:24:46 PM,5/3/2017
Viacom,O‑VIA‑00021162,In Process,tkoslow,12:21:39 PM,4/20/2017
Viacom,O‑VIA‑00021136,In Process,rrobles,2:50:48 PM,4/7/2017
Viacom,O‑VIA‑00021134,In Process,rrobles,2:39:21 PM,4/7/2017
Viacom,O‑VIA‑00021130,In Process,rrobles,2:41:25 PM,4/6/2017
Viacom,O‑VIA‑00021126,In Process,tkoslow,4:48:07 PM,3/28/2017
Viacom,O‑VIA‑00021123,In Process,tkoslow,11:38:28 AM,3/27/2017
Viacom,O‑VIA‑00011116,In Process,tkoslow,2:44:14 PM,2/13/2017
Viacom,O‑VIA‑00011111,In Process,tkoslow,12:52:19 PM,1/30/2017
Viacom,O‑VIA‑00011107,In Process,Clayton,3:54:59 PM,1/26/2017
Viacom,O‑VIA‑00011094,In Process,Clayton,4:24:30 PM,12/27/2016
Viacom,O‑VIA‑00011092,In Process,Clayton,3:30:10 PM,12/27/2016
Viacom,O‑VIA‑00011086,In Process,tkoslow,11:24:24 AM,11/9/2016
Viacom,O‑VIA‑00011084,In Process,tkoslow,3:59:26 PM,10/18/2016
Viacom,O‑VIA‑00011079,In Process,tkoslow,3:37:37 PM,7/13/2016
Viacom,O‑VIA‑00011071,In Process,tkoslow,2:41:35 PM,5/31/2016
Viacom,O‑VIA‑00001068,In Process,tkoslow,12:26:34 PM,5/13/2016
Viacom,O‑VIA‑00001063,In Process,tkoslow,3:59:00 PM,5/6/2016
Viacom,O‑VIA‑00001060,In Process,tkoslow,2:26:00 PM,4/25/2016
Viacom,O‑VIA‑00001053,In Process,tkoslow,12:49:30 PM,4/8/2016
Viacom,O‑VIA‑00001040,In Process,gcarrillo,11:27:30 PM,1/4/2016
Viacom,O‑VIA‑00001038,In Process,gcarrillo,4:54:26 PM,9/23/2015
Viacom,O‑VIA‑00001036,In Process,bbastas,4:49:22 PM,9/23/2015
Viacom,O‑VIA‑00001034,In Process,fmolina,4:35:51 PM,9/23/2015
Viacom,O‑VIA‑00001032,In Process,Clayton,4:30:56 PM,9/23/2015
Viacom,O‑VIA‑00001024,In Process,bbastas,12:00:27 PM,9/23/2015
Viacom,O‑VIA‑00001022,In Process,bbastas,11:35:13 AM,9/23/2015
