Client,ID,Order Status,User,Time,Date
YSL,O‑YSL‑00052607,In Process,liaho,4:18:07 PM,7/31/2019
YSL,O‑YSL‑00052605,In Process,liaho,9:27:50 AM,7/31/2019
YSL,O‑YSL‑00052603,In Process,liaho,12:57:21 PM,7/30/2019
YSL,O‑YSL‑00052599,In Process,liaho,9:50:59 AM,7/25/2019
YSL,O‑YSL‑00052596,In Process,liaho,1:54:15 PM,7/23/2019
YSL,O‑YSL‑00052594,In Process,liaho,1:44:15 PM,7/23/2019
YSL,O‑YSL‑00052592,In Process,liaho,11:46:19 AM,7/23/2019
YSL,O‑YSL‑00052590,In Process,liaho,11:42:13 AM,7/23/2019
YSL,O‑YSL‑00052587,In Process,liaho,11:35:36 AM,7/23/2019
YSL,O‑YSL‑00052585,In Process,liaho,11:19:34 AM,7/23/2019
YSL,O‑YSL‑00052583,In Process,liaho,10:54:41 AM,7/23/2019
YSL,O‑YSL‑00052580,In Process,liaho,12:53:05 PM,7/18/2019
YSL,O‑YSL‑00052574,In Process,liaho,8:37:45 AM,7/17/2019
YSL,O‑YSL‑00052563,In Process,liaho,1:05:41 PM,7/11/2019
YSL,O‑YSL‑00052561,In Process,liaho,12:56:46 PM,7/11/2019
YSL,O‑YSL‑00052559,In Process,liaho,8:46:52 AM,7/11/2019
YSL,O‑YSL‑00052555,In Process,liaho,1:37:17 PM,7/10/2019
YSL,O‑YSL‑00052546,In Process,liaho,8:39:17 AM,7/9/2019
YSL,O‑YSL‑00052544,In Process,liaho,9:59:42 AM,7/3/2019
YSL,O‑YSL‑00052537,In Process,liaho,9:30:13 AM,7/2/2019
YSL,O‑YSL‑00052531,In Process,liaho,9:51:26 AM,6/26/2019
YSL,O‑YSL‑00052527,In Process,liaho,11:14:10 AM,6/25/2019
YSL,O‑YSL‑00052525,In Process,liaho,11:06:25 AM,6/25/2019
YSL,O‑YSL‑00052523,In Process,liaho,11:00:55 AM,6/25/2019
YSL,O‑YSL‑00052521,In Process,liaho,10:47:54 AM,6/25/2019
YSL,O‑YSL‑00052519,In Process,liaho,10:14:15 AM,6/25/2019
YSL,O‑YSL‑00052516,In Process,liaho,10:11:49 AM,6/14/2019
