Client,ID,Order Status,User,Time,Date
ASB,O‑ASB‑00133452,In Process,JHAROOTUNIAN,5:02:18 PM,6/24/2020
ASB,O‑ASB‑00133447,In Process,JHAROOTUNIAN,9:32:26 AM,6/5/2020
ASB,O‑ASB‑00133445,In Process,JHAROOTUNIAN,11:10:09 AM,6/4/2020
ASB,O‑ASB‑00133442,In Process,JHAROOTUNIAN,2:41:23 PM,5/29/2020
ASB,O‑ASB‑00133440,In Process,TCAMARA,9:17:11 AM,5/27/2020
ASB,O‑ASB‑00123442,In Process,JHAROOTUNIAN,4:08:25 PM,5/7/2020
ASB,O‑ASB‑00123440,In Process,JHAROOTUNIAN,4:17:28 PM,5/4/2020
ASB,O‑ASB‑00123438,In Process,JHAROOTUNIAN,3:44:30 PM,5/4/2020
ASB,O‑ASB‑00123436,In Process,JHAROOTUNIAN,11:10:06 AM,4/23/2020
ASB,O‑ASB‑00123433,In Process,JHAROOTUNIAN,3:37:58 PM,4/15/2020
ASB,O‑ASB‑00123431,In Process,TCAMARA,3:51:29 PM,3/19/2020
ASB,O‑ASB‑00123429,In Process,JGOODMAN,1:59:23 PM,3/12/2020
ASB,O‑ASB‑00123425,In Process,JGOODMAN,8:51:35 AM,3/9/2020
ASB,O‑ASB‑00123422,In Process,JHAROOTUNIAN,10:47:38 AM,3/3/2020
ASB,O‑ASB‑00123420,In Process,JHAROOTUNIAN,3:30:51 PM,3/2/2020
ASB,O‑ASB‑00123418,In Process,JGOODMAN,3:20:45 PM,3/2/2020
ASB,O‑ASB‑00123414,In Process,JHAROOTUNIAN,8:53:52 AM,2/27/2020
ASB,O‑ASB‑00123409,In Process,JHAROOTUNIAN,12:58:39 PM,2/26/2020
ASB,O‑ASB‑00123402,In Process,JGOODMAN,9:59:12 AM,2/25/2020
ASB,O‑ASB‑00123400,In Process,JHAROOTUNIAN,9:51:00 AM,2/25/2020
ASB,O‑ASB‑00123395,In Process,JHAROOTUNIAN,8:24:32 AM,2/20/2020
ASB,O‑ASB‑00123393,In Process,TCAMARA,10:41:07 AM,2/19/2020
ASB,O‑ASB‑00123391,In Process,TCAMARA,9:10:40 AM,2/19/2020
ASB,O‑ASB‑00123389,In Process,JHAROOTUNIAN,4:18:09 PM,2/18/2020
ASB,O‑ASB‑00123387,In Process,TCAMARA,3:44:00 PM,2/18/2020
ASB,O‑ASB‑00123383,In Process,TCAMARA,10:21:05 AM,2/18/2020
ASB,O‑ASB‑00123381,In Process,JHAROOTUNIAN,4:05:27 PM,2/14/2020
ASB,O‑ASB‑00123372,In Process,JHAROOTUNIAN,11:53:32 AM,2/10/2020
ASB,O‑ASB‑00123368,In Process,JHAROOTUNIAN,11:39:26 AM,2/6/2020
ASB,O‑ASB‑00123365,In Process,JHAROOTUNIAN,8:24:21 AM,2/6/2020
ASB,O‑ASB‑00123363,In Process,JHAROOTUNIAN,3:41:36 PM,2/5/2020
ASB,O‑ASB‑00123359,In Process,JHAROOTUNIAN,3:25:57 PM,2/4/2020
ASB,O‑ASB‑00123356,In Process,JHAROOTUNIAN,9:18:05 AM,2/4/2020
ASB,O‑ASB‑00123354,In Process,JHAROOTUNIAN,12:48:42 PM,2/3/2020
ASB,O‑ASB‑00123350,In Process,TCAMARA,10:49:17 AM,2/3/2020
ASB,O‑ASB‑00123347,In Process,JHAROOTUNIAN,9:59:24 AM,1/31/2020
ASB,O‑ASB‑00123345,In Process,TCAMARA,4:14:39 PM,1/24/2020
ASB,O‑ASB‑00123342,In Process,TCAMARA,4:01:15 PM,1/24/2020
ASB,O‑ASB‑00123340,In Process,TCAMARA,10:49:44 AM,1/24/2020
ASB,O‑ASB‑00123338,In Process,JHAROOTUNIAN,11:57:31 AM,1/22/2020
ASB,O‑ASB‑00123336,In Process,JHAROOTUNIAN,9:17:32 AM,1/22/2020
ASB,O‑ASB‑00123333,In Process,JHAROOTUNIAN,12:40:59 PM,1/16/2020
ASB,O‑ASB‑00123331,In Process,JHAROOTUNIAN,1:16:37 PM,1/14/2020
ASB,O‑ASB‑00123329,In Process,JHAROOTUNIAN,1:15:56 PM,1/14/2020
ASB,O‑ASB‑00123326,In Process,TCAMARA,3:42:59 PM,1/9/2020
ASB,O‑ASB‑00123321,In Process,JHAROOTUNIAN,12:52:12 PM,12/16/2019
ASB,O‑ASB‑00123319,In Process,JHAROOTUNIAN,9:44:51 AM,12/16/2019
ASB,O‑ASB‑00123316,In Process,JHAROOTUNIAN,8:01:25 AM,12/16/2019
ASB,O‑ASB‑00123314,In Process,JHAROOTUNIAN,9:31:31 AM,12/13/2019
ASB,O‑ASB‑00123312,In Process,JHAROOTUNIAN,3:07:15 PM,12/12/2019
ASB,O‑ASB‑00123310,In Process,TCAMARA,10:21:55 AM,12/10/2019
ASB,O‑ASB‑00123307,In Process,JHAROOTUNIAN,4:04:34 PM,12/6/2019
ASB,O‑ASB‑00123305,In Process,JHAROOTUNIAN,1:57:26 PM,12/6/2019
ASB,O‑ASB‑00123303,In Process,JHAROOTUNIAN,3:41:06 PM,12/4/2019
ASB,O‑ASB‑00123301,In Process,JHAROOTUNIAN,1:24:57 PM,11/25/2019
ASB,O‑ASB‑00123298,In Process,JHAROOTUNIAN,1:23:15 PM,11/22/2019
ASB,O‑ASB‑00123296,In Process,TCAMARA,11:08:54 AM,11/14/2019
ASB,O‑ASB‑00123292,In Process,TCAMARA,10:44:08 AM,11/5/2019
ASB,O‑ASB‑00123289,In Process,JHAROOTUNIAN,1:55:12 PM,10/31/2019
ASB,O‑ASB‑00123288,In Process,TCAMARA,1:44:57 PM,10/31/2019
ASB,O‑ASB‑00123283,In Process,TCAMARA,9:07:53 AM,10/30/2019
ASB,O‑ASB‑00123281,In Process,JHAROOTUNIAN,9:01:09 AM,10/18/2019
ASB,O‑ASB‑00123279,In Process,JHAROOTUNIAN,9:35:10 AM,10/16/2019
ASB,O‑ASB‑00123277,In Process,JHAROOTUNIAN,12:53:11 PM,10/14/2019
ASB,O‑ASB‑00113281,In Process,TCAMARA,1:10:23 PM,10/10/2019
ASB,O‑ASB‑00113278,In Process,JHAROOTUNIAN,11:48:57 AM,10/10/2019
ASB,O‑ASB‑00113262,In Process,DBARNUM,1:43:18 PM,10/7/2019
ASB,O‑ASB‑00113259,In Process,TCAMARA,2:44:34 PM,10/3/2019
ASB,O‑ASB‑00113256,In Process,JHAROOTUNIAN,1:23:55 PM,10/2/2019
ASB,O‑ASB‑00113254,In Process,JHAROOTUNIAN,11:56:15 AM,10/2/2019
ASB,O‑ASB‑00113252,In Process,JHAROOTUNIAN,2:04:10 PM,10/1/2019
ASB,O‑ASB‑00113250,In Process,JHAROOTUNIAN,2:46:29 PM,9/27/2019
