Client,ID,Order Status,User,Time,Date
Allen&Overy,O‑AO‑00092135,In Process,MTHOMAS,10:52:23 AM,3/20/2020
Allen&Overy,O‑AO‑00092132,In Process,MTHOMAS,10:10:19 AM,2/24/2020
Allen&Overy,O‑AO‑00092128,In Process,MTHOMAS,4:11:55 PM,2/5/2020
Allen&Overy,O‑AO‑00092125,In Process,MTHOMAS,11:47:32 AM,2/5/2020
Allen&Overy,O‑AO‑00092110,In Process,MTHOMAS,12:49:40 PM,12/10/2019
Allen&Overy,O‑AO‑00092108,In Process,MTHOMAS,3:25:24 PM,12/5/2019
Allen&Overy,O‑AO‑00092105,In Process,MTHOMAS,4:20:15 PM,11/26/2019
Allen&Overy,O‑AO‑00092103,In Process,MTHOMAS,4:47:17 PM,11/20/2019
Allen&Overy,O‑AO‑00092101,In Process,MTHOMAS,11:51:24 AM,11/18/2019
Allen&Overy,O‑AO‑00092099,In Process,MTHOMAS,1:24:02 PM,11/13/2019
Allen&Overy,O‑AO‑00092097,In Process,MTHOMAS,3:13:05 PM,11/8/2019
Allen&Overy,O‑AO‑00092095,In Process,MTHOMAS,11:46:34 AM,10/29/2019
Allen&Overy,O‑AO‑00092093,In Process,MTHOMAS,4:20:11 PM,10/28/2019
Allen&Overy,O‑AO‑00092089,In Process,MTHOMAS,4:40:02 PM,10/17/2019
Allen&Overy,O‑AO‑00092086,In Process,MTHOMAS,4:39:24 PM,10/14/2019
Allen&Overy,O‑AO‑00082087,In Process,MTHOMAS,11:34:29 AM,10/9/2019
Allen&Overy,O‑AO‑00082084,In Process,MTHOMAS,2:36:09 PM,10/1/2019
Allen&Overy,O‑AO‑00082081,In Process,MTHOMAS,4:01:08 PM,9/30/2019
Allen&Overy,O‑AO‑00082079,In Process,MTHOMAS,4:35:37 PM,9/27/2019
Allen&Overy,O‑AO‑00082077,In Process,MTHOMAS,10:26:29 AM,9/24/2019
Allen&Overy,O‑AO‑00082075,In Process,MTHOMAS,2:03:29 PM,9/20/2019
Allen&Overy,O‑AO‑00082072,In Process,MTHOMAS,11:26:35 AM,9/19/2019
Allen&Overy,O‑AO‑00082068,In Process,MTHOMAS,9:15:49 AM,9/11/2019
Allen&Overy,O‑AO‑00082062,In Process,MTHOMAS,2:46:19 PM,8/8/2019
Allen&Overy,O‑AO‑00082056,In Process,MTHOMAS,10:00:01 AM,7/25/2019
Allen&Overy,O‑AO‑00082054,In Process,MTHOMAS,1:15:14 PM,7/24/2019
Allen&Overy,O‑AO‑00082052,In Process,MTHOMAS,11:32:38 AM,7/24/2019
Allen&Overy,O‑AO‑00082049,In Process,MTHOMAS,12:45:58 PM,7/23/2019
Allen&Overy,O‑AO‑00082044,In Process,MTHOMAS,11:50:53 AM,7/18/2019
Allen&Overy,O‑AO‑00082037,In Process,MTHOMAS,1:05:31 PM,7/9/2019
Allen&Overy,O‑AO‑00082033,In Process,MTHOMAS,3:25:37 PM,7/8/2019
Allen&Overy,O‑AO‑00082031,In Process,MTHOMAS,2:52:54 PM,7/8/2019
Allen&Overy,O‑AO‑00082027,In Process,MTHOMAS,1:36:42 PM,6/27/2019
Allen&Overy,O‑AO‑00082023,In Process,MTHOMAS,1:20:39 PM,6/21/2019
Allen&Overy,O‑AO‑00082017,In Process,MTHOMAS,1:19:11 PM,6/11/2019
Allen&Overy,O‑AO‑00082014,In Process,MTHOMAS,2:34:14 PM,6/5/2019
Allen&Overy,O‑AO‑00082007,In Process,MTHOMAS,2:58:46 PM,5/23/2019
Allen&Overy,O‑AO‑00081995,In Process,MTHOMAS,5:05:22 PM,5/16/2019
Allen&Overy,O‑AO‑00081992,In Process,MTHOMAS,12:19:12 PM,5/9/2019
Allen&Overy,O‑AO‑00081987,In Process,MTHOMAS,1:49:03 PM,5/3/2019
Allen&Overy,O‑AO‑00081983,In Process,MTHOMAS,12:16:03 PM,5/2/2019
Allen&Overy,O‑AO‑00081981,In Process,MTHOMAS,3:09:36 PM,4/23/2019
Allen&Overy,O‑AO‑00081976,In Process,MTHOMAS,4:41:08 PM,3/22/2019
Allen&Overy,O‑AO‑00081973,In Process,MTHOMAS,4:25:26 PM,3/21/2019
Allen&Overy,O‑AO‑00081970,In Process,MTHOMAS,1:52:30 PM,3/21/2019
Allen&Overy,O‑AO‑00081965,In Process,MTHOMAS,3:56:05 PM,3/19/2019
Allen&Overy,O‑AO‑00081962,In Process,MTHOMAS,4:15:38 PM,3/15/2019
Allen&Overy,O‑AO‑00081959,In Process,MTHOMAS,2:03:40 PM,3/8/2019
Allen&Overy,O‑AO‑00081955,In Process,MTHOMAS,2:34:08 PM,2/21/2019
Allen&Overy,O‑AO‑00081953,In Process,MTHOMAS,1:32:28 PM,2/14/2019
Allen&Overy,O‑AO‑00081951,In Process,MTHOMAS,4:34:47 PM,2/12/2019
Allen&Overy,O‑AO‑00081947,In Process,MTHOMAS,4:18:26 PM,2/11/2019
Allen&Overy,O‑AO‑00081944,In Process,MTHOMAS,12:07:43 PM,2/7/2019
Allen&Overy,O‑AO‑00081940,In Process,MTHOMAS,4:11:26 PM,1/31/2019
Allen&Overy,O‑AO‑00081938,In Process,MTHOMAS,4:45:02 PM,1/24/2019
Allen&Overy,O‑AO‑00081935,In Process,MTHOMAS,2:44:59 PM,1/7/2019
Allen&Overy,O‑AO‑00081930,In Process,MTHOMAS,5:03:48 PM,12/27/2018
Allen&Overy,O‑AO‑00081926,In Process,MTHOMAS,4:15:03 PM,12/20/2018
Allen&Overy,O‑AO‑00081924,In Process,MTHOMAS,4:52:48 PM,12/18/2018
Allen&Overy,O‑AO‑00081919,In Process,MTHOMAS,4:06:40 PM,12/5/2018
Allen&Overy,O‑AO‑00081914,In Process,MTHOMAS,5:25:03 PM,11/15/2018
Allen&Overy,O‑AO‑00081912,In Process,MTHOMAS,12:47:16 PM,10/11/2018
Allen&Overy,O‑AO‑00081910,In Process,MTHOMAS,4:07:16 PM,10/9/2018
Allen&Overy,O‑AO‑00081908,In Process,MTHOMAS,2:21:39 PM,10/3/2018
Allen&Overy,O‑AO‑00081906,In Process,MTHOMAS,3:29:15 PM,10/2/2018
Allen&Overy,O‑AO‑00081904,In Process,MTHOMAS,11:12:51 AM,9/26/2018
Allen&Overy,O‑AO‑00081902,In Process,MTHOMAS,5:27:55 PM,9/25/2018
Allen&Overy,O‑AO‑00081899,In Process,MTHOMAS,11:37:40 AM,9/13/2018
Allen&Overy,O‑AO‑00081895,In Process,MTHOMAS,4:16:55 PM,9/5/2018
Allen&Overy,O‑AO‑00081891,In Process,MTHOMAS,10:57:29 AM,8/2/2018
Allen&Overy,O‑AO‑00081887,In Process,MTHOMAS,11:03:03 AM,7/25/2018
Allen&Overy,O‑AO‑00081885,In Process,MTHOMAS,3:56:05 PM,7/24/2018
Allen&Overy,O‑AO‑00081883,In Process,MTHOMAS,3:25:17 PM,7/24/2018
Allen&Overy,O‑AO‑00081880,In Process,MTHOMAS,12:31:10 PM,7/20/2018
Allen&Overy,O‑AO‑00081877,In Process,MTHOMAS,5:38:32 PM,7/19/2018
Allen&Overy,O‑AO‑00081875,In Process,MTHOMAS,5:44:13 PM,7/13/2018
Allen&Overy,O‑AO‑00081872,In Process,MTHOMAS,4:44:52 PM,7/12/2018
Allen&Overy,O‑AO‑00081870,In Process,MTHOMAS,5:40:40 PM,7/9/2018
Allen&Overy,O‑AO‑00081867,In Process,MTHOMAS,3:04:18 PM,6/29/2018
Allen&Overy,O‑AO‑00081865,In Process,MTHOMAS,1:11:21 PM,6/28/2018
Allen&Overy,O‑AO‑00081861,In Process,MTHOMAS,6:05:54 PM,6/26/2018
Allen&Overy,O‑AO‑00081857,In Process,MTHOMAS,1:44:56 PM,6/22/2018
Allen&Overy,O‑AO‑00081855,In Process,MTHOMAS,4:47:47 PM,6/21/2018
Allen&Overy,O‑AO‑00081852,In Process,MTHOMAS,5:49:12 PM,6/19/2018
Allen&Overy,O‑AO‑00081850,In Process,MTHOMAS,4:46:31 PM,6/11/2018
Allen&Overy,O‑AO‑00081846,In Process,MTHOMAS,4:36:55 PM,5/30/2018
Allen&Overy,O‑AO‑00081842,In Process,MTHOMAS,4:44:51 PM,5/29/2018
Allen&Overy,O‑AO‑00081837,In Process,MTHOMAS,11:05:40 AM,5/17/2018
Allen&Overy,O‑AO‑00081835,In Process,MTHOMAS,1:52:26 PM,5/7/2018
Allen&Overy,O‑AO‑00081830,In Process,MTHOMAS,4:41:44 PM,5/3/2018
Allen&Overy,O‑AO‑00081828,In Process,MTHOMAS,6:12:04 PM,5/1/2018
Allen&Overy,O‑AO‑00081826,In Process,MTHOMAS,6:03:22 PM,5/1/2018
Allen&Overy,O‑AO‑00081822,In Process,MTHOMAS,12:55:53 PM,4/23/2018
Allen&Overy,O‑AO‑00081820,In Process,MTHOMAS,3:54:54 PM,4/19/2018
Allen&Overy,O‑AO‑00081817,In Process,MTHOMAS,12:11:04 PM,4/16/2018
Allen&Overy,O‑AO‑00081813,In Process,MTHOMAS,5:05:02 PM,4/11/2018
Allen&Overy,O‑AO‑00081811,In Process,MTHOMAS,4:54:40 PM,4/4/2018
