Client,ID,Order Status,User,Time,Date
Amster,O‑ARE‑00021077,In Process,Clayton,9:19:45 AM,5/19/2019
Amster,O‑ARE‑00021075,In Process,Clayton,6:58:37 AM,11/12/2018
Amster,O‑ARE‑00021073,In Process,Clayton,5:13:04 PM,5/17/2018
Amster,O‑ARE‑00021071,In Process,Clayton,7:29:40 AM,4/20/2018
Amster,O‑ARE‑00021069,In Process,Clayton,11:52:39 AM,4/3/2018
Amster,O‑ARE‑00021067,In Process,Clayton,7:39:34 AM,1/31/2018
Amster,O‑ARE‑00021063,In Process,ELEVISS,3:04:47 PM,12/7/2017
Amster,O‑ARE‑00021061,In Process,ELEVISS,9:37:11 AM,11/29/2017
Amster,O‑ARE‑00021059,In Process,ELEVISS,8:22:08 AM,9/28/2017
Amster,O‑ARE‑00021057,In Process,ELEVISS,9:47:09 AM,9/11/2017
Amster,O‑ARE‑00021055,In Process,ELEVISS,10:12:36 AM,8/22/2017
Amster,O‑ARE‑00021053,In Process,ELEVISS,12:20:51 PM,5/31/2017
Amster,O‑ARE‑00021050,In Process,ELEVISS,3:57:55 PM,2/27/2017
Amster,O‑ARE‑00021047,In Process,ELEVISS,9:48:34 AM,8/8/2016
Amster,O‑ARE‑00021041,In Process,ELEVISS,11:37:57 AM,6/13/2016
Amster,O‑ARE‑00021039,In Process,ELEVISS,4:54:53 PM,4/5/2016
Amster,O‑ARE‑00021037,In Process,ELEVISS,12:46:33 PM,4/5/2016
Amster,O‑ARE‑00011037,In Process,ELEVISS,11:36:30 AM,2/10/2016
Amster,O‑ARE‑00011035,In Process,ELEVISS,10:07:05 AM,1/28/2016
Amster,O‑ARE‑00011033,In Process,ELEVISS,10:46:06 AM,1/4/2016
Amster,O‑ARE‑00011031,In Process,ELEVISS,11:50:56 AM,10/20/2015
Amster,O‑ARE‑00011029,In Process,ELEVISS,4:53:30 PM,9/29/2015
Amster,O‑ARE‑00011025,In Process,ELEVISS,4:37:11 PM,6/23/2015
Amster,O‑ARE‑00011023,In Process,ELEVISS,1:17:47 PM,6/11/2015
Amster,O‑ARE‑00011021,In Process,ELEVISS,10:49:38 AM,4/29/2015
Amster,O‑ARE‑00011019,In Process,ELEVISS,1:19:24 PM,3/27/2015
Amster,O‑ARE‑00011015,In Process,ELEVISS,1:46:32 PM,3/3/2015
Amster,O‑ARE‑00011013,In Process,ELEVISS,10:42:16 AM,2/13/2015
Amster,O‑ARE‑00011011,In Process,ELEVISS,1:24:40 PM,10/24/2014
Amster,O‑ARE‑00001011,In Process,ELEVISS,4:01:34 PM,9/11/2014
Amster,O‑ARE‑00001009,In Process,ELEVISS,1:35:08 PM,8/5/2014
Amster,O‑ARE‑00001006,In Process,Clayton,9:41:10 AM,3/18/2014
