Client,ID,Order Status,User,Time,Date
BBDO,O‑BBDO‑00031456,In Process,KGidman,1:17:03 PM,12/6/2019
BBDO,O‑BBDO‑00021452,In Process,KGidman,10:05:33 AM,10/8/2019
BBDO,O‑BBDO‑00021450,In Process,KGidman,10:27:40 AM,7/23/2019
BBDO,O‑BBDO‑00021447,In Process,KGidman,3:06:08 PM,7/22/2019
BBDO,O‑BBDO‑00021426,In Process,KGidman,3:37:27 PM,4/2/2019
BBDO,O‑BBDO‑00021414,In Process,KGidman,10:24:13 AM,1/7/2019
BBDO,O‑BBDO‑00021408,In Process,KGidman,1:23:04 PM,11/16/2018
BBDO,O‑BBDO‑00021396,In Process,KGidman,2:23:48 PM,9/12/2018
BBDO,O‑BBDO‑00021384,In Process,KGidman,12:09:31 PM,6/7/2018
BBDO,O‑BBDO‑00021381,In Process,KGidman,10:21:47 AM,6/7/2018
BBDO,O‑BBDO‑00021374,In Process,KGidman,2:38:46 PM,5/18/2018
BBDO,O‑BBDO‑00021366,In Process,KGidman,12:42:34 PM,3/28/2018
BBDO,O‑BBDO‑00021351,In Process,KGidman,5:13:43 PM,1/19/2018
BBDO,O‑BBDO‑00021348,In Process,KGidman,12:04:16 PM,1/19/2018
BBDO,O‑BBDO‑00021336,In Process,KGidman,4:32:28 PM,11/27/2017
BBDO,O‑BBDO‑00021330,In Process,KGidman,3:13:25 PM,10/5/2017
BBDO,O‑BBDO‑00021316,In Process,KGidman,9:56:58 AM,9/22/2017
BBDO,O‑BBDO‑00021306,In Process,KGidman,2:34:35 PM,8/11/2017
BBDO,O‑BBDO‑00021301,In Process,KGidman,2:11:09 PM,7/7/2017
BBDO,O‑BBDO‑00021295,In Process,KGidman,12:45:59 PM,5/18/2017
BBDO,O‑BBDO‑00021287,In Process,KGidman,11:30:57 AM,3/29/2017
BBDO,O‑BBDO‑00021279,In Process,KGidman,12:33:01 PM,2/6/2017
BBDO,O‑BBDO‑00021266,In Process,KGidman,1:59:30 PM,11/21/2016
BBDO,O‑BBDO‑00021256,In Process,KGidman,1:09:33 PM,10/4/2016
BBDO,O‑BBDO‑00011248,In Process,KGidman,2:31:18 PM,9/14/2016
BBDO,O‑BBDO‑00011239,In Process,KGidman,10:47:46 AM,8/15/2016
BBDO,O‑BBDO‑00011235,In Process,KGidman,3:26:10 PM,8/12/2016
BBDO,O‑BBDO‑00011232,In Process,KGidman,12:10:17 PM,7/27/2016
BBDO,O‑BBDO‑00011230,In Process,KGidman,3:42:03 PM,7/26/2016
BBDO,O‑BBDO‑00011222,In Process,KGidman,10:33:16 AM,6/3/2016
BBDO,O‑BBDO‑00011217,In Process,KGidman,11:55:40 AM,5/11/2016
BBDO,O‑BBDO‑00011214,In Process,KGidman,4:02:25 PM,5/10/2016
BBDO,O‑BBDO‑00011211,In Process,KGidman,3:22:52 PM,4/29/2016
BBDO,O‑BBDO‑00011207,In Process,KGidman,11:36:07 AM,3/31/2016
BBDO,O‑BBDO‑00011202,In Process,KGidman,11:39:46 AM,1/29/2016
BBDO,O‑BBDO‑00011196,In Process,KGidman,4:17:21 PM,12/21/2015
BBDO,O‑BBDO‑00011190,In Process,KGidman,11:03:58 AM,11/13/2015
BBDO,O‑BBDO‑00011180,In Process,KGidman,10:57:44 AM,10/9/2015
BBDO,O‑BBDO‑00011166,In Process,KGidman,11:03:43 AM,9/16/2015
BBDO,O‑BBDO‑00011158,In Process,KGidman,11:37:59 AM,8/13/2015
BBDO,O‑BBDO‑00011150,In Process,KGidman,12:23:46 PM,7/1/2015
BBDO,O‑BBDO‑00001144,In Process,KGidman,1:24:37 PM,6/2/2015
BBDO,O‑BBDO‑00001140,In Process,KGidman,1:40:30 PM,5/8/2015
BBDO,O‑BBDO‑00001133,In Process,KGidman,4:07:06 PM,4/16/2015
BBDO,O‑BBDO‑00001126,In Process,KGidman,2:02:25 PM,3/27/2015
BBDO,O‑BBDO‑00001124,In Process,KGidman,1:53:59 PM,3/27/2015
BBDO,O‑BBDO‑00001115,In Process,KGidman,3:55:47 PM,3/4/2015
BBDO,O‑BBDO‑00001110,In Process,KGidman,1:19:55 PM,2/27/2015
BBDO,O‑BBDO‑00001104,In Process,Clayton,10:37:29 AM,12/31/2014
BBDO,O‑BBDO‑00001099,In Process,KGidman,12:01:21 PM,12/22/2014
BBDO,O‑BBDO‑00001089,In Process,KGidman,2:18:40 PM,11/20/2014
BBDO,O‑BBDO‑00001077,In Process,KGidman,1:48:59 PM,11/4/2014
BBDO,O‑BBDO‑00001075,In Process,KGidman,1:42:07 PM,11/4/2014
BBDO,O‑BBDO‑00001072,In Process,KGidman,5:45:08 PM,11/3/2014
BBDO,O‑BBDO‑00001069,In Process,KGidman,1:42:27 PM,10/29/2014
BBDO,O‑BBDO‑00001060,In Process,KGidman,2:28:42 PM,10/21/2014
BBDO,O‑BBDO‑00001058,In Process,KGidman,1:38:38 PM,10/21/2014
BBDO,O‑BBDO‑00001056,In Process,KGidman,12:48:04 PM,10/21/2014
BBDO,O‑BBDO‑00001048,In Process,KGidman,3:52:32 PM,10/17/2014
BBDO,O‑BBDO‑00001046,In Process,KGidman,3:48:13 PM,10/17/2014
