Client,ID,Order Status,User,Time,Date
Cadre,O‑CAD‑00001060,In Process,ccase,1:31:51 PM,9/9/2019
Cadre,O‑CAD‑00001057,In Process,ccase,2:59:31 PM,8/28/2019
Cadre,O‑CAD‑00001052,Completed,ccase,11:12:58 AM,6/6/2019
Cadre,O‑CAD‑00001046,Completed,ccase,5:54:21 PM,4/18/2019
Cadre,O‑CAD‑00001040,Completed,ccase,3:02:09 PM,11/20/2018
Cadre,O‑CAD‑00001037,Completed,ccase,5:16:05 PM,10/18/2018
Cadre,O‑CAD‑00001032,Completed,ccase,4:17:53 PM,9/10/2018
Cadre,O‑CAD‑00001030,Completed,Clayton,8:26:48 AM,8/22/2018
Cadre,O‑CAD‑00001026,Completed,ccase,1:45:02 PM,7/5/2018
Cadre,O‑CAD‑00001024,Completed,ccase,11:40:30 AM,6/14/2018
Cadre,O‑CAD‑00001021,Completed,ccase,12:25:57 PM,5/18/2018
Cadre,O‑CAD‑00001019,Completed,ccase,11:11:19 AM,4/19/2018
