Client,ID,Order Status,User,Time,Date
Cravath,O‑CSM‑00001249,In Process,Eogbu,9:49:13 AM,11/28/2018
Cravath,O‑CSM‑00001245,In Process,Eogbu,3:34:37 PM,10/5/2018
Cravath,O‑CSM‑00001230,In Process,Eogbu,10:05:50 AM,8/3/2018
Cravath,O‑CSM‑00001224,In Process,Eogbu,9:53:03 AM,6/28/2018
Cravath,O‑CSM‑00001217,In Process,Eogbu,12:29:09 PM,5/2/2018
Cravath,O‑CSM‑00001215,In Process,Eogbu,11:13:10 AM,4/20/2018
Cravath,O‑CSM‑00001212,In Process,Eogbu,1:03:30 PM,4/17/2018
Cravath,O‑CSM‑00001210,In Process,Eogbu,12:23:47 PM,4/16/2018
Cravath,O‑CSM‑00001205,In Process,Eogbu,9:30:37 AM,4/6/2018
Cravath,O‑CSM‑00001199,In Process,Eogbu,11:37:40 AM,3/12/2018
Cravath,O‑CSM‑00001187,In Process,Eogbu,2:33:39 PM,2/23/2018
Cravath,O‑CSM‑00001184,In Process,Eogbu,2:25:38 PM,11/2/2017
Cravath,O‑CSM‑00001182,In Process,Eogbu,12:02:19 PM,10/25/2017
Cravath,O‑CSM‑00001179,In Process,Eogbu,10:27:31 AM,8/30/2017
Cravath,O‑CSM‑00001177,In Process,Eogbu,12:37:55 PM,8/25/2017
Cravath,O‑CSM‑00001175,In Process,Eogbu,12:00:58 PM,8/25/2017
Cravath,O‑CSM‑00001173,In Process,Eogbu,10:00:34 AM,8/25/2017
Cravath,O‑CSM‑00001171,In Process,Eogbu,10:18:39 AM,8/18/2017
Cravath,O‑CSM‑00001169,In Process,Eogbu,11:00:15 AM,7/21/2017
Cravath,O‑CSM‑00001167,In Process,Eogbu,4:09:48 PM,6/19/2017
Cravath,O‑CSM‑00001165,In Process,Eogbu,4:51:20 PM,6/9/2017
Cravath,O‑CSM‑00001160,In Process,Eogbu,11:11:45 AM,5/25/2017
Cravath,O‑CSM‑00001157,In Process,Eogbu,11:25:16 AM,5/18/2017
Cravath,O‑CSM‑00001155,In Process,Eogbu,12:09:47 PM,4/4/2017
Cravath,O‑CSM‑00001153,In Process,Eogbu,12:48:44 PM,3/15/2017
Cravath,O‑CSM‑00001147,In Process,Eogbu,10:56:56 AM,3/3/2017
Cravath,O‑CSM‑00001132,In Process,Clayton,12:06:16 PM,1/31/2017
Cravath,O‑CSM‑00001102,In Process,GKELSON,4:05:49 PM,10/8/2014
Cravath,O‑CSM‑00001098,In Process,GKELSON,12:45:57 PM,9/24/2014
Cravath,O‑CSM‑00001096,In Process,GKELSON,7:45:57 AM,9/18/2014
Cravath,O‑CSM‑00001094,In Process,GKELSON,12:20:14 PM,9/16/2014
Cravath,O‑CSM‑00001091,In Process,GKELSON,8:47:38 AM,8/14/2014
Cravath,O‑CSM‑00001089,In Process,GKELSON,7:12:12 AM,8/14/2014
Cravath,O‑CSM‑00001087,In Process,GKELSON,11:17:49 AM,8/8/2014
Cravath,O‑CSM‑00001085,In Process,GKELSON,2:29:14 PM,8/7/2014
Cravath,O‑CSM‑00001081,In Process,GKELSON,2:53:54 PM,7/29/2014
Cravath,O‑CSM‑00001079,In Process,GKELSON,3:42:04 PM,7/28/2014
Cravath,O‑CSM‑00001077,In Process,GKELSON,3:46:16 PM,7/9/2014
Cravath,O‑CSM‑00001074,In Process,GKELSON,3:01:01 PM,6/24/2014
Cravath,O‑CSM‑00001072,In Process,GKELSON,7:41:40 AM,6/16/2014
Cravath,O‑CSM‑00001064,In Process,GKELSON,7:47:17 AM,5/14/2014
Cravath,O‑CSM‑00001045,In Process,Clayton,9:33:40 AM,11/18/2013
Cravath,O‑CSM‑00001016,In Process,Clayton,11:17:02 AM,3/6/2013
Cravath,O‑CSM‑00001012,In Process,cfoster,2:20:49 PM,2/26/2013
Cravath,O‑CSM‑00001009,In Process,Clayton,11:23:30 AM,2/25/2013
Cravath,O‑CSM‑00001007,In Process,Clayton,10:33:33 AM,2/25/2013
