Client,ID,Order Status,User,Time,Date
Fluid,O‑FI‑00021387,In Process,natalia,4:28:47 PM,7/24/2018
Fluid,O‑FI‑00021372,In Process,natalia,1:54:26 PM,6/8/2018
Fluid,O‑FI‑00021361,In Process,natalia,4:16:24 PM,1/18/2017
Fluid,O‑FI‑00011330,In Process,natalia,1:54:35 PM,3/29/2016
Fluid,O‑FI‑00011325,In Process,natalia,4:28:54 PM,3/7/2016
Fluid,O‑FI‑00011323,In Process,natalia,3:55:19 PM,3/7/2016
Fluid,O‑FI‑00011314,In Process,natalia,7:23:31 PM,1/12/2016
Fluid,O‑FI‑00011307,In Process,natalia,3:22:20 PM,9/17/2015
Fluid,O‑FI‑00011288,In Process,natalia,5:30:02 PM,6/8/2015
Fluid,O‑FI‑00011252,In Process,natalia,5:19:29 PM,2/25/2015
Fluid,O‑FI‑00011240,In Process,natalia,2:48:14 PM,9/18/2014
Fluid,O‑FI‑00001227,In Process,natalia,2:40:09 PM,7/30/2014
Fluid,O‑FI‑00001193,In Process,natalia,4:53:18 PM,2/25/2014
Fluid,O‑FI‑00001184,Completed,natalia,4:38:15 PM,11/25/2013
Fluid,O‑FI‑00001176,Completed,Clayton,4:24:32 PM,11/16/2013
Fluid,O‑FI‑00001170,Completed,natalia,7:32:48 PM,9/26/2013
Fluid,O‑FI‑00001156,Completed,natalia,8:30:04 PM,7/2/2013
Fluid,O‑FI‑00001136,Completed,natalia,5:16:50 PM,5/7/2013
Fluid,O‑FI‑00001110,Completed,natalia,4:09:36 PM,1/31/2013
Fluid,O‑FI‑00001105,Completed,natalia,7:35:33 PM,1/29/2013
Fluid,O‑FI‑00001089,Completed,Clayton,2:17:03 PM,12/5/2012
Fluid,O‑FI‑00001087,Completed,Clayton,1:38:33 PM,12/5/2012
Fluid,O‑FI‑00001085,Completed,natalia,3:50:56 PM,11/21/2012
Fluid,O‑FI‑00001064,Completed,natalia,7:30:18 PM,10/10/2012
Fluid,O‑FI‑00001024,Completed,Clayton,1:28:06 PM,8/17/2012
Fluid,FI‑FI‑00001022,Completed,Clayton,1:08:09 PM,8/17/2012
