Client,ID,Order Status,User,Time,Date
Harrys,O‑HAR‑00021446,In Process,Harrys,4:36:12 PM,1/28/2020
Harrys,O‑HAR‑00021442,In Process,Harrys,4:48:22 PM,12/20/2019
Harrys,O‑HAR‑00021438,In Process,Harrys,1:52:05 PM,12/10/2019
Harrys,O‑HAR‑00021436,In Process,Harrys,8:50:50 AM,12/10/2019
Harrys,O‑HAR‑00021431,In Process,Harrys,1:08:01 PM,9/30/2019
Harrys,O‑HAR‑00021429,In Process,Harrys,3:27:24 PM,9/19/2019
Harrys,O‑HAR‑00021424,In Process,Harrys,2:35:43 PM,8/27/2019
Harrys,O‑HAR‑00021407,In Process,Harrys,4:29:20 PM,5/23/2019
Harrys,O‑HAR‑00021404,In Process,Harrys,3:32:56 PM,5/20/2019
Harrys,O‑HAR‑00021401,In Process,Clayton,9:29:04 AM,5/19/2019
Harrys,O‑HAR‑00021399,In Process,Harrys,2:27:36 PM,5/16/2019
Harrys,O‑HAR‑00021396,In Process,Harrys,11:14:52 AM,5/15/2019
Harrys,O‑HAR‑00021394,In Process,Harrys,4:18:26 PM,5/2/2019
Harrys,O‑HAR‑00021392,Completed,Harrys,2:46:23 PM,5/2/2019
Harrys,O‑HAR‑00021389,Completed,Harrys,10:21:27 AM,4/24/2019
Harrys,O‑HAR‑00021387,Completed,Harrys,3:18:39 PM,4/16/2019
Harrys,O‑HAR‑00021384,Completed,Harrys,11:31:22 AM,4/12/2019
Harrys,O‑HAR‑00021379,Completed,Harrys,2:58:56 PM,3/18/2019
Harrys,O‑HAR‑00021375,Completed,Harrys,1:08:38 AM,3/15/2019
Harrys,O‑HAR‑00021373,Completed,Harrys,1:07:40 AM,3/15/2019
Harrys,O‑HAR‑00021371,Completed,Harrys,1:06:35 AM,3/15/2019
Harrys,O‑HAR‑00021367,Completed,Harrys,10:48:24 AM,3/10/2019
Harrys,O‑HAR‑00021365,Completed,Harrys,10:06:51 AM,3/10/2019
Harrys,O‑HAR‑00021360,Completed,Harrys,4:12:59 PM,3/4/2019
Harrys,O‑HAR‑00021352,Completed,Harrys,5:12:18 PM,2/3/2019
Harrys,O‑HAR‑00021350,Completed,Harrys,5:11:22 PM,2/3/2019
Harrys,O‑HAR‑00021348,Completed,Harrys,5:09:45 PM,2/3/2019
Harrys,O‑HAR‑00021346,Completed,Harrys,5:04:48 PM,2/3/2019
Harrys,O‑HAR‑00021336,Completed,HarrysAdmin,4:33:29 PM,1/14/2019
Harrys,O‑HAR‑00021331,Completed,Harrys,11:44:09 AM,12/11/2018
Harrys,O‑HAR‑00021329,Completed,Harrys,4:27:01 PM,11/28/2018
Harrys,O‑HAR‑00021325,Completed,Harrys,2:20:02 PM,11/28/2018
Harrys,O‑HAR‑00021321,Completed,Harrys,10:16:36 AM,11/5/2018
Harrys,O‑HAR‑00021319,Completed,Harrys,1:45:52 PM,11/2/2018
Harrys,O‑HAR‑00021314,Completed,Clayton,1:34:02 PM,10/19/2018
Harrys,O‑HAR‑00021306,Completed,HarrysAdmin,2:13:46 PM,9/14/2018
Harrys,O‑HAR‑00021299,Completed,HarrysAdmin,4:44:38 PM,8/21/2018
Harrys,O‑HAR‑00021297,Completed,HarrysAdmin,4:41:30 PM,8/21/2018
Harrys,O‑HAR‑00021295,Completed,HarrysAdmin,9:32:25 AM,8/20/2018
Harrys,O‑HAR‑00021291,Completed,Harrys,1:46:16 PM,7/18/2018
Harrys,O‑HAR‑00021289,Completed,Harrys,3:56:57 PM,7/10/2018
Harrys,O‑HAR‑00021287,Completed,Harrys,3:28:46 PM,6/26/2018
Harrys,O‑HAR‑00021284,Completed,Harrys,3:27:19 PM,6/21/2018
Harrys,O‑HAR‑00021282,Completed,Harrys,9:29:53 AM,6/21/2018
Harrys,O‑HAR‑00021271,Completed,Harrys,1:44:45 PM,5/23/2018
Harrys,O‑HAR‑00021269,Completed,Harrys,1:27:06 PM,5/23/2018
Harrys,O‑HAR‑00021267,Completed,Harrys,10:44:29 AM,5/23/2018
Harrys,O‑HAR‑00021265,Completed,HarrysAdmin,10:30:56 AM,5/23/2018
Harrys,O‑HAR‑00021261,Completed,Harrys,10:02:05 AM,5/23/2018
Harrys,O‑HAR‑00021250,Completed,Harrys,2:03:36 PM,5/3/2018
Harrys,O‑HAR‑00021245,In Process,Harrys,10:58:49 AM,5/1/2018
Harrys,O‑HAR‑00021243,Completed,Harrys,8:32:14 PM,4/30/2018
Harrys,O‑HAR‑00021240,Completed,Harrys,2:25:04 PM,4/12/2018
Harrys,O‑HAR‑00021238,Completed,Harrys,4:10:11 PM,4/5/2018
Harrys,O‑HAR‑00021227,Completed,Harrys,3:28:46 PM,3/22/2018
Harrys,O‑HAR‑00021220,Completed,Harrys,9:05:52 AM,3/13/2018
