Client,ID,Order Status,User,Time,Date
Herrick,O‑HF‑00061753,In Process,herrick,9:15:04 AM,2/28/2020
Herrick,O‑HF‑00061751,In Process,herrick,4:32:27 PM,2/12/2020
Herrick,O‑HF‑00061749,In Process,herrick,1:27:50 PM,2/10/2020
Herrick,O‑HF‑00061747,In Process,herrick,4:22:00 PM,2/6/2020
Herrick,O‑HF‑00061745,In Process,herrick,2:32:23 PM,2/5/2020
Herrick,O‑HF‑00061743,In Process,herrick,2:25:46 PM,2/5/2020
Herrick,O‑HF‑00061741,In Process,herrick,3:23:05 PM,2/3/2020
Herrick,O‑HF‑00061739,In Process,herrick,1:24:53 PM,2/3/2020
Herrick,O‑HF‑00061737,In Process,herrick,4:07:24 PM,1/30/2020
Herrick,O‑HF‑00061735,In Process,herrick,4:19:08 PM,1/23/2020
Herrick,O‑HF‑00061733,In Process,herrick,11:35:01 AM,1/21/2020
Herrick,O‑HF‑00061730,In Process,herrick,2:38:40 PM,1/10/2020
Herrick,O‑HF‑00061726,In Process,herrick,2:31:43 PM,1/10/2020
Herrick,O‑HF‑00061724,In Process,herrick,4:07:23 PM,1/2/2020
Herrick,O‑HF‑00061722,In Process,herrick,4:05:14 PM,1/2/2020
Herrick,O‑HF‑00061720,In Process,herrick,10:30:03 AM,1/2/2020
Herrick,O‑HF‑00061718,In Process,herrick,2:07:55 PM,12/31/2019
Herrick,O‑HF‑00061716,In Process,herrick,1:56:17 PM,12/31/2019
Herrick,O‑HF‑00061714,In Process,herrick,4:23:10 PM,12/19/2019
Herrick,O‑HF‑00061712,In Process,herrick,5:04:23 PM,12/13/2019
Herrick,O‑HF‑00061710,In Process,herrick,4:54:20 PM,12/11/2019
Herrick,O‑HF‑00061708,In Process,herrick,5:43:58 PM,12/5/2019
Herrick,O‑HF‑00061706,In Process,herrick,5:47:27 PM,11/20/2019
Herrick,O‑HF‑00061704,In Process,herrick,5:42:31 PM,11/7/2019
Herrick,O‑HF‑00061702,In Process,herrick,4:06:48 PM,11/5/2019
Herrick,O‑HF‑00061700,In Process,herrick,2:15:36 PM,11/5/2019
Herrick,O‑HF‑00061698,In Process,herrick,5:55:11 PM,10/17/2019
Herrick,O‑HF‑00051698,In Process,herrick,3:19:20 PM,10/10/2019
Herrick,O‑HF‑00051696,In Process,herrick,3:06:03 PM,10/3/2019
Herrick,O‑HF‑00051694,In Process,herrick,5:18:39 PM,10/2/2019
Herrick,O‑HF‑00051692,In Process,herrick,2:50:44 PM,9/23/2019
Herrick,O‑HF‑00051690,In Process,herrick,10:35:03 AM,9/23/2019
Herrick,O‑HF‑00051688,In Process,herrick,5:07:53 PM,9/19/2019
Herrick,O‑HF‑00051686,In Process,herrick,2:52:53 PM,9/6/2019
Herrick,O‑HF‑00051684,In Process,herrick,2:50:48 PM,9/6/2019
Herrick,O‑HF‑00051682,In Process,herrick,3:11:22 PM,8/21/2019
Herrick,O‑HF‑00051680,In Process,herrick,2:30:24 PM,8/20/2019
Herrick,O‑HF‑00051678,In Process,herrick,10:18:01 AM,8/20/2019
Herrick,O‑HF‑00051676,In Process,herrick,12:42:57 PM,8/12/2019
Herrick,O‑HF‑00051674,In Process,herrick,9:53:55 AM,8/5/2019
Herrick,O‑HF‑00051672,In Process,herrick,2:56:57 PM,7/26/2019
Herrick,O‑HF‑00051670,In Process,herrick,10:27:45 AM,7/23/2019
