Client,ID,Order Status,User,Time,Date
Lazard,O‑LFC‑00115068,In Process,ICRUZ,11:40:46 AM,7/2/2020
Lazard,O‑LFC‑00115058,In Process,ICRUZ,2:58:12 PM,3/20/2020
Lazard,O‑LFC‑00115054,In Process,ICRUZ,12:06:40 PM,3/16/2020
Lazard,O‑LFC‑00115045,In Process,ICRUZ,3:17:59 PM,3/6/2020
Lazard,O‑LFC‑00115037,In Process,ICRUZ,9:58:01 AM,3/4/2020
Lazard,O‑LFC‑00115031,In Process,ICRUZ,2:51:53 PM,2/28/2020
Lazard,O‑LFC‑00115027,In Process,ICRUZ,9:36:19 AM,2/28/2020
Lazard,O‑LFC‑00115020,In Process,ICRUZ,1:13:38 PM,2/25/2020
Lazard,O‑LFC‑00115016,In Process,ICRUZ,3:10:53 PM,2/24/2020
Lazard,O‑LFC‑00115006,In Process,ICRUZ,10:03:53 PM,2/17/2020
Lazard,O‑LFC‑00114999,In Process,ICRUZ,3:36:10 PM,2/10/2020
Lazard,O‑LFC‑00114982,In Process,ICRUZ,4:03:17 PM,1/17/2020
Lazard,O‑LFC‑00114980,In Process,ICRUZ,4:01:29 PM,1/17/2020
Lazard,O‑LFC‑00114971,In Process,ICRUZ,2:58:26 PM,1/10/2020
Lazard,O‑LFC‑00114957,In Process,ICRUZ,1:37:38 AM,12/23/2019
Lazard,O‑LFC‑00114942,In Process,ICRUZ,2:55:07 PM,12/5/2019
Lazard,O‑LFC‑00114936,In Process,ICRUZ,10:54:50 AM,11/29/2019
Lazard,O‑LFC‑00114933,In Process,ICRUZ,10:19:10 AM,11/27/2019
Lazard,O‑LFC‑00114922,In Process,ICRUZ,6:50:04 AM,11/18/2019
Lazard,O‑LFC‑00114913,In Process,ICRUZ,9:28:02 AM,11/7/2019
Lazard,O‑LFC‑00114908,In Process,ICRUZ,3:42:31 PM,10/30/2019
Lazard,O‑LFC‑00114894,In Process,ICRUZ,9:22:35 AM,10/23/2019
Lazard,O‑LFC‑00114879,In Process,ICRUZ,7:52:10 AM,10/10/2019
Lazard,O‑LFC‑00114867,In Process,ICRUZ,1:07:34 PM,10/4/2019
Lazard,O‑LFC‑00114860,In Process,ICRUZ,2:51:57 PM,9/27/2019
Lazard,O‑LFC‑00114844,In Process,ICRUZ,2:23:38 PM,9/12/2019
Lazard,O‑LFC‑00114842,In Process,ICRUZ,2:21:53 PM,9/12/2019
Lazard,O‑LFC‑00114830,In Process,ICRUZ,11:42:17 AM,9/5/2019
Lazard,O‑LFC‑00114822,In Process,ICRUZ,3:22:01 PM,9/3/2019
Lazard,O‑LFC‑00114809,In Process,ICRUZ,3:50:58 PM,8/26/2019
Lazard,O‑LFC‑00114805,In Process,ICRUZ,2:14:26 PM,8/22/2019
Lazard,O‑LFC‑00114799,In Process,ICRUZ,7:37:13 AM,8/21/2019
Lazard,O‑LFC‑00114792,In Process,ICRUZ,3:42:02 PM,8/15/2019
Lazard,O‑LFC‑00114782,In Process,ICRUZ,1:08:09 PM,8/13/2019
Lazard,O‑LFC‑00114776,In Process,ICRUZ,2:48:15 PM,8/8/2019
Lazard,O‑LFC‑00114764,In Process,ICRUZ,7:01:57 AM,8/5/2019
Lazard,O‑LFC‑00114759,In Process,ICRUZ,6:58:55 AM,8/1/2019
Lazard,O‑LFC‑00114749,In Process,ICRUZ,2:32:08 PM,7/26/2019
Lazard,O‑LFC‑00114747,In Process,ICRUZ,2:22:48 PM,7/26/2019
Lazard,O‑LFC‑00114734,In Process,ICRUZ,2:49:41 PM,7/19/2019
Lazard,O‑LFC‑00114715,In Process,ICRUZ,1:35:52 PM,7/12/2019
Lazard,O‑LFC‑00114713,In Process,ICRUZ,1:31:38 PM,7/12/2019
Lazard,O‑LFC‑00114701,In Process,ICRUZ,9:12:04 AM,7/1/2019
Lazard,O‑LFC‑00114698,In Process,ICRUZ,10:56:48 AM,6/28/2019
Lazard,O‑LFC‑00114688,In Process,ICRUZ,3:03:38 PM,6/19/2019
Lazard,O‑LFC‑00114676,In Process,ICRUZ,3:21:33 PM,6/14/2019
Lazard,O‑LFC‑00114674,In Process,ICRUZ,3:15:08 PM,6/14/2019
Lazard,O‑LFC‑00114664,In Process,ICRUZ,3:23:30 PM,6/10/2019
Lazard,O‑LFC‑00114660,In Process,ICRUZ,11:07:52 AM,6/10/2019
Lazard,O‑LFC‑00114646,In Process,ICRUZ,9:45:50 AM,5/30/2019
Lazard,O‑LFC‑00114644,In Process,ICRUZ,9:39:53 AM,5/30/2019
Lazard,O‑LFC‑00114628,In Process,ICRUZ,4:50:06 PM,5/17/2019
Lazard,O‑LFC‑00114616,In Process,ICRUZ,11:51:02 AM,5/8/2019
Lazard,O‑LFC‑00114603,In Process,ICRUZ,11:58:00 AM,4/30/2019
Lazard,O‑LFC‑00114581,In Process,ICRUZ,3:50:28 PM,4/18/2019
Lazard,O‑LFC‑00114571,In Process,ICRUZ,1:20:57 PM,4/11/2019
Lazard,O‑LFC‑00114563,In Process,ICRUZ,1:29:17 PM,4/9/2019
Lazard,O‑LFC‑00114553,In Process,ICRUZ,12:07:18 PM,4/4/2019
Lazard,O‑LFC‑00114543,In Process,ICRUZ,12:37:55 PM,4/1/2019
Lazard,O‑LFC‑00114525,In Process,ICRUZ,8:50:49 AM,3/21/2019
Lazard,O‑LFC‑00114523,In Process,ICRUZ,8:48:12 AM,3/21/2019
Lazard,O‑LFC‑00114507,In Process,ICRUZ,2:49:53 PM,3/14/2019
Lazard,O‑LFC‑00114504,In Process,ICRUZ,10:57:08 AM,3/13/2019
Lazard,O‑LFC‑00114497,In Process,ICRUZ,2:07:02 PM,3/12/2019
Lazard,O‑LFC‑00114494,In Process,ICRUZ,11:42:32 AM,3/12/2019
Lazard,O‑LFC‑00114488,In Process,ICRUZ,11:56:59 AM,3/7/2019
Lazard,O‑LFC‑00114482,In Process,ICRUZ,9:25:00 AM,3/6/2019
Lazard,O‑LFC‑00114475,In Process,ICRUZ,5:07:31 PM,3/1/2019
Lazard,O‑LFC‑00114469,In Process,ICRUZ,2:37:33 PM,2/28/2019
Lazard,O‑LFC‑00114467,In Process,ICRUZ,2:34:13 PM,2/28/2019
Lazard,O‑LFC‑00114458,In Process,ICRUZ,10:19:13 AM,2/27/2019
Lazard,O‑LFC‑00114456,In Process,ICRUZ,9:41:40 AM,2/27/2019
Lazard,O‑LFC‑00114454,In Process,VGUDIEL,10:35:33 AM,2/26/2019
Lazard,O‑LFC‑00114450,In Process,ICRUZ,10:56:41 PM,2/24/2019
Lazard,O‑LFC‑00114448,In Process,ICRUZ,10:47:50 PM,2/24/2019
Lazard,O‑LFC‑00114440,In Process,VGUDIEL,12:43:28 PM,2/19/2019
Lazard,O‑LFC‑00114438,In Process,VGUDIEL,12:32:44 PM,2/19/2019
Lazard,O‑LFC‑00114435,In Process,VGUDIEL,11:20:21 AM,2/19/2019
Lazard,O‑LFC‑00114432,In Process,ICRUZ,10:31:18 AM,2/19/2019
Lazard,O‑LFC‑00114428,In Process,VGUDIEL,11:30:58 AM,2/15/2019
Lazard,O‑LFC‑00114420,In Process,BVALME,2:37:26 PM,2/11/2019
Lazard,O‑LFC‑00114415,In Process,VGUDIEL,9:43:03 AM,2/11/2019
Lazard,O‑LFC‑00114412,In Process,ICRUZ,3:26:59 PM,2/8/2019
Lazard,O‑LFC‑00114405,In Process,VGUDIEL,1:43:23 PM,2/7/2019
Lazard,O‑LFC‑00114400,In Process,ICRUZ,8:59:17 AM,2/5/2019
Lazard,O‑LFC‑00114395,In Process,BVALME,4:49:24 PM,1/31/2019
Lazard,O‑LFC‑00114390,In Process,VGUDIEL,2:25:52 PM,1/29/2019
Lazard,O‑LFC‑00114387,In Process,ICRUZ,4:41:57 PM,1/25/2019
Lazard,O‑LFC‑00114382,In Process,ICRUZ,1:07:35 PM,1/24/2019
Lazard,O‑LFC‑00114377,In Process,VGUDIEL,4:24:11 PM,1/22/2019
Lazard,O‑LFC‑00114375,In Process,VGUDIEL,4:09:03 PM,1/22/2019
Lazard,O‑LFC‑00114371,In Process,BVALME,3:11:03 PM,1/18/2019
Lazard,O‑LFC‑00114365,In Process,ICRUZ,1:04:30 PM,1/17/2019
Lazard,O‑LFC‑00114363,In Process,VGUDIEL,10:01:39 AM,1/16/2019
Lazard,O‑LFC‑00114361,In Process,VGUDIEL,10:00:14 AM,1/16/2019
Lazard,O‑LFC‑00114355,In Process,VGUDIEL,11:31:53 AM,1/15/2019
Lazard,O‑LFC‑00114351,In Process,ICRUZ,8:55:16 AM,1/15/2019
Lazard,O‑LFC‑00114346,In Process,ICRUZ,1:44:24 PM,1/9/2019
Lazard,O‑LFC‑00114342,In Process,BVALME,3:03:35 PM,1/8/2019
Lazard,O‑LFC‑00114334,In Process,BVALME,1:10:09 PM,1/3/2019
Lazard,O‑LFC‑00114330,In Process,ICRUZ,4:04:49 PM,12/22/2018
Lazard,O‑LFC‑00114323,In Process,VGUDIEL,9:42:24 AM,12/19/2018
Lazard,O‑LFC‑00114316,In Process,ICRUZ,3:08:29 PM,12/13/2018
Lazard,O‑LFC‑00114310,In Process,ICRUZ,8:56:59 AM,12/11/2018
Lazard,O‑LFC‑00114306,In Process,ICRUZ,3:12:05 PM,12/7/2018
Lazard,O‑LFC‑00114300,In Process,VGUDIEL,10:53:23 AM,12/5/2018
Lazard,O‑LFC‑00114298,In Process,VGUDIEL,3:42:30 PM,12/4/2018
Lazard,O‑LFC‑00114295,In Process,BVALME,3:05:23 PM,12/3/2018
Lazard,O‑LFC‑00114291,In Process,VGUDIEL,4:33:52 PM,11/30/2018
Lazard,O‑LFC‑00114289,In Process,ICRUZ,2:33:25 PM,11/30/2018
Lazard,O‑LFC‑00114282,In Process,ICRUZ,9:47:49 AM,11/26/2018
Lazard,O‑LFC‑00114276,In Process,VGUDIEL,10:37:52 AM,11/21/2018
Lazard,O‑LFC‑00114274,In Process,ICRUZ,11:12:40 PM,11/19/2018
Lazard,O‑LFC‑00114268,In Process,VGUDIEL,1:20:57 PM,11/16/2018
Lazard,O‑LFC‑00114266,In Process,VGUDIEL,1:19:02 PM,11/16/2018
Lazard,O‑LFC‑00114255,In Process,ICRUZ,6:35:03 PM,11/10/2018
Lazard,O‑LFC‑00114253,In Process,BVALME,1:34:25 PM,11/9/2018
Lazard,O‑LFC‑00114249,In Process,VGUDIEL,4:48:25 PM,11/8/2018
Lazard,O‑LFC‑00114247,In Process,BVALME,2:57:23 PM,11/7/2018
Lazard,O‑LFC‑00114242,In Process,ICRUZ,10:54:09 AM,11/7/2018
Lazard,O‑LFC‑00114233,In Process,VGUDIEL,9:52:35 AM,11/1/2018
Lazard,O‑LFC‑00114230,In Process,ICRUZ,3:48:10 PM,10/31/2018
Lazard,O‑LFC‑00114228,In Process,VGUDIEL,10:22:47 AM,10/31/2018
Lazard,O‑LFC‑00114223,In Process,VGUDIEL,10:15:21 AM,10/31/2018
Lazard,O‑LFC‑00114221,In Process,BVALME,2:24:57 PM,10/30/2018
Lazard,O‑LFC‑00114211,In Process,VGUDIEL,4:59:07 PM,10/25/2018
Lazard,O‑LFC‑00114205,In Process,ICRUZ,5:53:17 AM,10/23/2018
Lazard,O‑LFC‑00114195,In Process,ICRUZ,12:49:51 PM,10/15/2018
Lazard,O‑LFC‑00114191,In Process,VGUDIEL,2:55:49 PM,10/12/2018
Lazard,O‑LFC‑00114189,In Process,ICRUZ,2:49:35 PM,10/12/2018
Lazard,O‑LFC‑00114185,In Process,VGUDIEL,9:16:47 AM,10/12/2018
Lazard,O‑LFC‑00114180,In Process,ICRUZ,11:14:32 AM,10/11/2018
Lazard,O‑LFC‑00114176,In Process,VGUDIEL,9:22:03 AM,10/10/2018
Lazard,O‑LFC‑00114173,In Process,BVALME,5:35:22 PM,10/9/2018
Lazard,O‑LFC‑00114171,In Process,VGUDIEL,1:01:35 PM,10/9/2018
Lazard,O‑LFC‑00114169,In Process,VGUDIEL,10:46:07 AM,10/9/2018
Lazard,O‑LFC‑00114159,In Process,ICRUZ,3:36:09 PM,10/1/2018
Lazard,O‑LFC‑00114152,In Process,VGUDIEL,10:43:25 AM,9/28/2018
Lazard,O‑LFC‑00114150,In Process,VGUDIEL,10:29:44 AM,9/28/2018
Lazard,O‑LFC‑00114148,In Process,VGUDIEL,10:17:55 AM,9/28/2018
Lazard,O‑LFC‑00114145,In Process,VGUDIEL,12:17:49 PM,9/27/2018
Lazard,O‑LFC‑00114140,In Process,ICRUZ,2:15:36 PM,9/21/2018
Lazard,O‑LFC‑00114132,In Process,BVALME,2:54:34 PM,9/13/2018
Lazard,O‑LFC‑00114127,In Process,ICRUZ,2:49:05 PM,9/11/2018
Lazard,O‑LFC‑00114125,In Process,ICRUZ,1:21:38 PM,9/11/2018
Lazard,O‑LFC‑00114118,In Process,VGUDIEL,1:15:18 PM,9/7/2018
Lazard,O‑LFC‑00114116,In Process,VGUDIEL,1:11:29 PM,9/7/2018
Lazard,O‑LFC‑00114114,In Process,VGUDIEL,1:06:32 PM,9/7/2018
Lazard,O‑LFC‑00114106,In Process,BVALME,2:55:42 PM,9/5/2018
Lazard,O‑LFC‑00114102,In Process,ICRUZ,9:49:25 AM,9/5/2018
Lazard,O‑LFC‑00114100,In Process,VGUDIEL,4:44:04 PM,9/4/2018
Lazard,O‑LFC‑00114098,In Process,VGUDIEL,2:35:47 PM,9/4/2018
Lazard,O‑LFC‑00114094,In Process,ICRUZ,4:53:37 PM,9/1/2018
Lazard,O‑LFC‑00114085,In Process,BVALME,3:38:54 PM,8/28/2018
Lazard,O‑LFC‑00114083,In Process,VGUDIEL,3:12:30 PM,8/28/2018
Lazard,O‑LFC‑00114078,In Process,ICRUZ,11:37:27 AM,8/27/2018
Lazard,O‑LFC‑00114066,In Process,ICRUZ,2:12:13 PM,8/20/2018
Lazard,O‑LFC‑00114055,In Process,ICRUZ,10:00:30 AM,8/15/2018
Lazard,O‑LFC‑00114053,In Process,BVALME,10:43:05 PM,8/14/2018
Lazard,O‑LFC‑00114046,In Process,VGUDIEL,11:22:53 AM,8/9/2018
Lazard,O‑LFC‑00114041,In Process,VGUDIEL,10:17:03 AM,8/8/2018
Lazard,O‑LFC‑00114038,In Process,ICRUZ,3:45:49 PM,8/7/2018
Lazard,O‑LFC‑00114034,In Process,ICRUZ,9:31:18 AM,8/7/2018
Lazard,O‑LFC‑00114032,In Process,VGUDIEL,3:20:29 PM,8/6/2018
Lazard,O‑LFC‑00114030,In Process,BVALME,2:42:46 PM,8/6/2018
Lazard,O‑LFC‑00114026,In Process,VGUDIEL,2:27:59 PM,8/1/2018
Lazard,O‑LFC‑00114023,In Process,VGUDIEL,3:08:04 PM,7/31/2018
Lazard,O‑LFC‑00114021,In Process,VGUDIEL,2:15:21 PM,7/31/2018
Lazard,O‑LFC‑00114018,In Process,ICRUZ,1:13:55 PM,7/31/2018
Lazard,O‑LFC‑00114008,In Process,VGUDIEL,2:15:03 PM,7/26/2018
Lazard,O‑LFC‑00114005,In Process,VGUDIEL,10:32:29 AM,7/26/2018
Lazard,O‑LFC‑00103998,In Process,ICRUZ,11:18:26 PM,7/24/2018
Lazard,O‑LFC‑00103996,In Process,ICRUZ,11:06:15 PM,7/24/2018
