Client,ID,Order Status,User,Time,Date
Linklaters,O‑LL‑00001748,In Process,LINKLATERS,9:39:35 AM,2/6/2020
Linklaters,O‑LL‑00001746,In Process,LINKLATERS,2:56:27 PM,2/5/2020
Linklaters,O‑LL‑00001741,In Process,LINKLATERS,10:29:45 AM,1/30/2020
Linklaters,O‑LL‑00001738,In Process,LINKLATERS,11:04:22 AM,1/29/2020
Linklaters,O‑LL‑00001736,In Process,LINKLATERS,11:20:19 AM,1/27/2020
Linklaters,O‑LL‑00001734,In Process,LINKLATERS,10:58:54 AM,1/27/2020
Linklaters,O‑LL‑00001732,In Process,LINKLATERS,9:14:23 AM,1/21/2020
Linklaters,O‑LL‑00001729,In Process,LINKLATERS,1:15:07 PM,1/15/2020
Linklaters,O‑LL‑00001727,In Process,LINKLATERS,2:31:11 PM,1/9/2020
Linklaters,O‑LL‑00001725,In Process,LINKLATERS,11:34:33 AM,12/5/2019
Linklaters,O‑LL‑00001723,In Process,LINKLATERS,3:07:16 PM,11/13/2019
Linklaters,O‑LL‑00001721,In Process,LINKLATERS,3:11:23 PM,10/30/2019
Linklaters,O‑LL‑00001719,In Process,LINKLATERS,10:43:19 AM,10/30/2019
Linklaters,O‑LL‑00001715,In Process,LINKLATERS,11:10:43 AM,10/21/2019
Linklaters,O‑LL‑00001713,In Process,LINKLATERS,10:38:06 AM,10/15/2019
Linklaters,O‑LL‑00001711,In Process,LINKLATERS,2:19:59 PM,10/1/2019
Linklaters,O‑LL‑00001709,In Process,LINKLATERS,11:39:19 AM,10/1/2019
Linklaters,O‑LL‑00001706,In Process,LINKLATERS,3:44:22 PM,9/16/2019
Linklaters,O‑LL‑00001702,In Process,LINKLATERS,11:23:12 AM,8/19/2019
Linklaters,O‑LL‑00001700,In Process,LINKLATERS,1:43:45 PM,8/9/2019
Linklaters,O‑LL‑00001698,In Process,LINKLATERS,2:33:09 PM,7/15/2019
Linklaters,O‑LL‑00001696,In Process,LINKLATERS,2:04:05 PM,7/15/2019
Linklaters,O‑LL‑00001694,In Process,LINKLATERS,2:18:14 PM,7/2/2019
Linklaters,O‑LL‑00001692,In Process,LINKLATERS,9:13:01 AM,6/26/2019
Linklaters,O‑LL‑00001690,In Process,LINKLATERS,1:42:03 PM,6/25/2019
Linklaters,O‑LL‑00001688,In Process,LINKLATERS,9:17:55 AM,6/12/2019
Linklaters,O‑LL‑00001684,In Process,LINKLATERS,9:56:44 AM,5/10/2019
Linklaters,O‑LL‑00001681,In Process,LINKLATERS,2:57:45 PM,5/2/2019
Linklaters,O‑LL‑00001679,In Process,LINKLATERS,4:17:14 PM,4/29/2019
Linklaters,O‑LL‑00001677,In Process,LINKLATERS,12:51:40 PM,4/29/2019
Linklaters,O‑LL‑00001675,In Process,LINKLATERS,12:29:26 PM,4/29/2019
Linklaters,O‑LL‑00001673,In Process,LINKLATERS,12:31:19 PM,4/9/2019
Linklaters,O‑LL‑00001671,In Process,LINKLATERS,11:02:08 AM,4/5/2019
Linklaters,O‑LL‑00001669,In Process,LINKLATERS,2:32:57 PM,4/4/2019
Linklaters,O‑LL‑00001667,In Process,LINKLATERS,2:38:05 PM,4/2/2019
Linklaters,O‑LL‑00001665,In Process,LINKLATERS,11:33:46 AM,4/2/2019
Linklaters,O‑LL‑00001663,In Process,LINKLATERS,12:59:29 PM,3/26/2019
Linklaters,O‑LL‑00001661,In Process,LINKLATERS,3:26:37 PM,3/22/2019
Linklaters,O‑LL‑00001659,In Process,LINKLATERS,2:50:30 PM,3/22/2019
Linklaters,O‑LL‑00001657,In Process,LINKLATERS,2:38:42 PM,3/22/2019
Linklaters,O‑LL‑00001655,In Process,LINKLATERS,11:53:41 AM,3/21/2019
Linklaters,O‑LL‑00001653,In Process,LINKLATERS,3:06:59 PM,3/20/2019
Linklaters,O‑LL‑00001651,In Process,LINKLATERS,4:08:14 PM,3/13/2019
Linklaters,O‑LL‑00001649,In Process,LINKLATERS,4:17:07 PM,3/6/2019
Linklaters,O‑LL‑00001647,In Process,LINKLATERS,3:17:50 PM,2/28/2019
Linklaters,O‑LL‑00001645,In Process,LINKLATERS,10:50:43 AM,2/26/2019
Linklaters,O‑LL‑00001643,In Process,LINKLATERS,10:48:38 AM,2/26/2019
Linklaters,O‑LL‑00001641,In Process,LINKLATERS,12:44:53 PM,2/14/2019
Linklaters,O‑LL‑00001639,In Process,LINKLATERS,10:45:17 AM,2/12/2019
Linklaters,O‑LL‑00001637,In Process,LINKLATERS,10:26:22 AM,2/12/2019
Linklaters,O‑LL‑00001635,In Process,LINKLATERS,10:11:35 AM,2/12/2019
Linklaters,O‑LL‑00001633,In Process,LINKLATERS,2:28:03 PM,2/7/2019
Linklaters,O‑LL‑00001631,In Process,LINKLATERS,12:38:12 PM,2/7/2019
Linklaters,O‑LL‑00001629,In Process,LINKLATERS,12:27:49 PM,2/7/2019
Linklaters,O‑LL‑00001627,In Process,LINKLATERS,1:44:53 PM,1/25/2019
Linklaters,O‑LL‑00001625,In Process,LINKLATERS,4:01:46 PM,1/24/2019
Linklaters,O‑LL‑00001623,In Process,LINKLATERS,2:27:24 PM,1/23/2019
Linklaters,O‑LL‑00001621,In Process,LINKLATERS,4:05:34 PM,1/17/2019
Linklaters,O‑LL‑00001619,In Process,LINKLATERS,1:19:17 PM,1/10/2019
Linklaters,O‑LL‑00001617,In Process,LINKLATERS,1:15:47 PM,1/10/2019
Linklaters,O‑LL‑00001615,In Process,LINKLATERS,1:13:18 PM,1/7/2019
Linklaters,O‑LL‑00001613,In Process,LINKLATERS,3:04:54 PM,12/13/2018
Linklaters,O‑LL‑00001611,In Process,LINKLATERS,10:58:48 AM,12/13/2018
Linklaters,O‑LL‑00001609,In Process,LINKLATERS,11:51:15 AM,12/3/2018
Linklaters,O‑LL‑00001607,In Process,LINKLATERS,11:01:57 AM,12/3/2018
Linklaters,O‑LL‑00001605,In Process,LINKLATERS,2:03:35 PM,11/26/2018
Linklaters,O‑LL‑00001603,In Process,LINKLATERS,3:42:02 PM,11/20/2018
Linklaters,O‑LL‑00001601,In Process,LINKLATERS,1:00:08 PM,11/20/2018
Linklaters,O‑LL‑00001599,In Process,LINKLATERS,4:13:03 PM,11/13/2018
Linklaters,O‑LL‑00001597,In Process,LINKLATERS,12:59:54 PM,11/7/2018
Linklaters,O‑LL‑00001595,In Process,LINKLATERS,11:48:04 AM,11/6/2018
Linklaters,O‑LL‑00001593,In Process,LINKLATERS,11:50:13 AM,11/5/2018
Linklaters,O‑LL‑00001591,In Process,LINKLATERS,12:24:30 PM,11/1/2018
Linklaters,O‑LL‑00001589,In Process,LINKLATERS,2:44:50 PM,10/31/2018
Linklaters,O‑LL‑00001587,In Process,LINKLATERS,9:23:32 AM,10/22/2018
Linklaters,O‑LL‑00001583,In Process,LINKLATERS,9:41:25 AM,9/27/2018
Linklaters,O‑LL‑00001581,In Process,LINKLATERS,11:43:07 AM,9/25/2018
Linklaters,O‑LL‑00001579,In Process,LINKLATERS,11:09:19 AM,9/5/2018
Linklaters,O‑LL‑00001577,In Process,LINKLATERS,3:01:00 PM,8/30/2018
Linklaters,O‑LL‑00001575,In Process,LINKLATERS,2:00:59 PM,8/28/2018
Linklaters,O‑LL‑00001572,In Process,LINKLATERS,3:28:18 PM,8/14/2018
Linklaters,O‑LL‑00001570,In Process,LINKLATERS,12:52:03 PM,8/13/2018
Linklaters,O‑LL‑00001568,In Process,LINKLATERS,10:45:59 AM,8/13/2018
Linklaters,O‑LL‑00001566,In Process,LINKLATERS,3:04:46 PM,8/3/2018
Linklaters,O‑LL‑00001564,In Process,LINKLATERS,11:12:40 AM,8/2/2018
Linklaters,O‑LL‑00001562,In Process,LINKLATERS,4:29:09 PM,7/20/2018
Linklaters,O‑LL‑00001560,In Process,LINKLATERS,5:24:53 PM,7/16/2018
Linklaters,O‑LL‑00001558,In Process,LINKLATERS,2:16:30 PM,6/26/2018
Linklaters,O‑LL‑00001556,In Process,LINKLATERS,11:10:14 AM,6/22/2018
Linklaters,O‑LL‑00001554,In Process,LINKLATERS,1:38:20 PM,6/21/2018
Linklaters,O‑LL‑00001552,In Process,LINKLATERS,3:58:26 PM,6/14/2018
Linklaters,O‑LL‑00001550,In Process,LINKLATERS,1:33:24 PM,6/13/2018
Linklaters,O‑LL‑00001548,In Process,LINKLATERS,1:11:20 PM,6/13/2018
Linklaters,O‑LL‑00001546,In Process,LINKLATERS,10:42:07 AM,6/6/2018
Linklaters,O‑LL‑00001544,In Process,LINKLATERS,12:35:16 PM,6/4/2018
Linklaters,O‑LL‑00001542,In Process,LINKLATERS,2:26:18 PM,6/1/2018
Linklaters,O‑LL‑00001540,In Process,LINKLATERS,4:32:38 PM,5/31/2018
Linklaters,O‑LL‑00001538,In Process,LINKLATERS,4:03:33 PM,5/8/2018
Linklaters,O‑LL‑00001536,In Process,LINKLATERS,10:47:33 AM,5/3/2018
Linklaters,O‑LL‑00001534,In Process,LINKLATERS,3:01:05 PM,5/1/2018
