Client,ID,Order Status,User,Time,Date
MCB,O‑MNB‑00071815,In Process,SSCIARAFFO,2:31:00 PM,2/28/2020
MCB,O‑MNB‑00071813,In Process,SSCIARAFFO,9:14:35 AM,2/26/2020
MCB,O‑MNB‑00071810,In Process,SSCIARAFFO,10:58:07 AM,2/25/2020
MCB,O‑MNB‑00071805,In Process,SSCIARAFFO,8:23:57 AM,2/11/2020
MCB,O‑MNB‑00071803,In Process,SSCIARAFFO,2:12:25 PM,2/4/2020
MCB,O‑MNB‑00071801,In Process,SSCIARAFFO,9:17:25 AM,2/3/2020
MCB,O‑MNB‑00071799,In Process,SSCIARAFFO,11:47:52 AM,1/15/2020
MCB,O‑MNB‑00071797,In Process,SSCIARAFFO,8:34:20 AM,1/3/2020
MCB,O‑MNB‑00071794,In Process,SSCIARAFFO,8:11:14 AM,1/3/2020
MCB,O‑MNB‑00071792,In Process,SSCIARAFFO,2:36:10 PM,1/2/2020
MCB,O‑MNB‑00071789,In Process,SSCIARAFFO,7:44:49 AM,12/6/2019
MCB,O‑MNB‑00071785,In Process,SSCIARAFFO,1:41:50 PM,12/4/2019
MCB,O‑MNB‑00071783,In Process,SSCIARAFFO,11:27:53 AM,11/21/2019
MCB,O‑MNB‑00071781,In Process,SSCIARAFFO,1:05:24 PM,10/29/2019
MCB,O‑MNB‑00071779,In Process,SSCIARAFFO,1:31:17 PM,10/16/2019
MCB,O‑MNB‑00061781,In Process,SSCIARAFFO,10:14:27 AM,10/7/2019
MCB,O‑MNB‑00061777,In Process,SSCIARAFFO,1:58:17 PM,10/1/2019
MCB,O‑MNB‑00061774,In Process,SSCIARAFFO,11:11:22 AM,9/25/2019
MCB,O‑MNB‑00061771,In Process,SSCIARAFFO,11:50:55 AM,9/23/2019
MCB,O‑MNB‑00061769,In Process,SSCIARAFFO,1:30:47 PM,8/20/2019
MCB,O‑MNB‑00061766,In Process,SSCIARAFFO,1:36:10 PM,8/13/2019
MCB,O‑MNB‑00061762,In Process,SSCIARAFFO,2:28:32 PM,7/25/2019
MCB,O‑MNB‑00061759,In Process,SSCIARAFFO,9:14:53 AM,7/10/2019
MCB,O‑MNB‑00061754,In Process,SSCIARAFFO,12:35:44 PM,6/20/2019
MCB,O‑MNB‑00061752,In Process,SSCIARAFFO,9:06:56 AM,6/18/2019
MCB,O‑MNB‑00061750,In Process,SSCIARAFFO,10:27:53 AM,6/12/2019
MCB,O‑MNB‑00061747,In Process,SSCIARAFFO,3:03:39 PM,6/11/2019
MCB,O‑MNB‑00061743,In Process,Clayton,3:33:45 PM,6/6/2019
MCB,O‑MNB‑00061736,In Process,SSCIARAFFO,1:46:15 PM,6/6/2019
MCB,O‑MNB‑00061734,In Process,SSCIARAFFO,10:58:29 AM,5/31/2019
MCB,O‑MNB‑00061732,In Process,SSCIARAFFO,3:01:28 PM,5/30/2019
MCB,O‑MNB‑00061721,In Process,SSCIARAFFO,2:00:14 PM,5/22/2019
MCB,O‑MNB‑00061719,In Process,SSCIARAFFO,11:59:13 AM,5/20/2019
MCB,O‑MNB‑00061706,In Process,SSCIARAFFO,12:22:48 PM,5/13/2019
MCB,O‑MNB‑00061702,In Process,SSCIARAFFO,11:17:13 AM,4/30/2019
MCB,O‑MNB‑00061700,In Process,SSCIARAFFO,9:42:12 AM,4/18/2019
MCB,O‑MNB‑00061697,In Process,SSCIARAFFO,3:23:26 PM,4/16/2019
MCB,O‑MNB‑00061695,In Process,SSCIARAFFO,3:02:37 PM,4/5/2019
MCB,O‑MNB‑00061690,In Process,SSCIARAFFO,2:52:49 PM,4/5/2019
MCB,O‑MNB‑00061688,In Process,SSCIARAFFO,2:46:17 PM,4/5/2019
MCB,O‑MNB‑00061686,In Process,SSCIARAFFO,2:43:02 PM,4/5/2019
MCB,O‑MNB‑00061682,In Process,SSCIARAFFO,3:06:31 PM,3/22/2019
MCB,O‑MNB‑00061673,In Process,SSCIARAFFO,11:31:19 AM,3/15/2019
MCB,O‑MNB‑00061671,In Process,SSCIARAFFO,3:51:01 PM,3/11/2019
MCB,O‑MNB‑00061669,In Process,SSCIARAFFO,2:31:02 PM,3/11/2019
MCB,O‑MNB‑00061663,In Process,SSCIARAFFO,1:58:04 PM,3/6/2019
MCB,O‑MNB‑00061654,In Process,SSCIARAFFO,9:35:46 AM,3/1/2019
MCB,O‑MNB‑00061652,In Process,SSCIARAFFO,11:25:15 AM,2/27/2019
MCB,O‑MNB‑00061648,In Process,SSCIARAFFO,3:04:53 PM,2/21/2019
MCB,O‑MNB‑00051626,In Process,SSCIARAFFO,4:02:04 PM,12/11/2018
MCB,O‑MNB‑00051610,In Process,SSCIARAFFO,2:12:12 PM,11/27/2018
MCB,O‑MNB‑00051607,In Process,SSCIARAFFO,3:09:52 PM,10/29/2018
MCB,O‑MNB‑00051604,In Process,SSCIARAFFO,12:14:00 PM,10/24/2018
MCB,O‑MNB‑00051602,In Process,SSCIARAFFO,11:57:48 AM,10/24/2018
MCB,O‑MNB‑00051600,In Process,SSCIARAFFO,11:00:18 AM,10/18/2018
MCB,O‑MNB‑00051598,In Process,SSCIARAFFO,3:24:10 PM,10/12/2018
MCB,O‑MNB‑00051596,In Process,SSCIARAFFO,11:53:33 AM,10/12/2018
MCB,O‑MNB‑00051594,In Process,SSCIARAFFO,3:45:47 PM,10/10/2018
MCB,O‑MNB‑00051592,In Process,SSCIARAFFO,1:01:14 PM,10/4/2018
MCB,O‑MNB‑00051590,In Process,SSCIARAFFO,10:42:08 AM,10/2/2018
MCB,O‑MNB‑00051588,In Process,SSCIARAFFO,11:21:37 AM,9/26/2018
MCB,O‑MNB‑00051586,In Process,SSCIARAFFO,12:38:22 PM,9/25/2018
MCB,O‑MNB‑00051583,In Process,SSCIARAFFO,4:01:30 PM,9/17/2018
MCB,O‑MNB‑00051581,In Process,SSCIARAFFO,3:12:46 PM,9/14/2018
MCB,O‑MNB‑00051578,In Process,SSCIARAFFO,3:25:31 PM,9/7/2018
MCB,O‑MNB‑00051576,In Process,SSCIARAFFO,3:05:34 PM,8/30/2018
MCB,O‑MNB‑00051574,In Process,SSCIARAFFO,2:36:25 PM,8/21/2018
MCB,O‑MNB‑00051571,In Process,SSCIARAFFO,3:29:28 PM,8/15/2018
MCB,O‑MNB‑00051569,In Process,SSCIARAFFO,12:53:17 PM,8/14/2018
MCB,O‑MNB‑00051567,In Process,SSCIARAFFO,2:34:48 PM,8/8/2018
MCB,O‑MNB‑00051559,In Process,SSCIARAFFO,3:34:36 PM,6/27/2018
MCB,O‑MNB‑00051554,In Process,SSCIARAFFO,2:28:54 PM,6/20/2018
MCB,O‑MNB‑00051552,In Process,SSCIARAFFO,12:01:19 PM,6/7/2018
MCB,O‑MNB‑00051548,In Process,SSCIARAFFO,4:02:27 PM,6/4/2018
MCB,O‑MNB‑00051540,In Process,jandersen,3:48:47 PM,5/29/2018
MCB,O‑MNB‑00051538,In Process,jandersen,3:42:00 PM,5/29/2018
MCB,O‑MNB‑00051536,In Process,SSCIARAFFO,3:30:31 PM,5/22/2018
MCB,O‑MNB‑00051534,In Process,jandersen,4:31:14 PM,5/21/2018
MCB,O‑MNB‑00051531,In Process,SSCIARAFFO,10:43:29 AM,5/17/2018
MCB,O‑MNB‑00051528,In Process,SSCIARAFFO,4:10:46 PM,5/10/2018
MCB,O‑MNB‑00051525,In Process,SSCIARAFFO,1:41:47 PM,5/3/2018
MCB,O‑MNB‑00051523,In Process,SSCIARAFFO,3:49:53 PM,5/2/2018
MCB,O‑MNB‑00051521,In Process,SSCIARAFFO,11:28:02 AM,4/27/2018
MCB,O‑MNB‑00051492,In Process,SSCIARAFFO,3:10:39 PM,2/6/2018
MCB,O‑MNB‑00051490,In Process,SSCIARAFFO,11:38:44 AM,1/18/2018
MCB,O‑MNB‑00051486,In Process,SSCIARAFFO,3:26:15 PM,12/12/2017
MCB,O‑MNB‑00051482,In Process,SSCIARAFFO,10:24:24 AM,11/21/2017
MCB,O‑MNB‑00051480,In Process,SSCIARAFFO,4:03:23 PM,11/17/2017
MCB,O‑MNB‑00051476,In Process,SSCIARAFFO,12:02:36 PM,10/26/2017
MCB,O‑MNB‑00051474,In Process,SSCIARAFFO,2:52:11 PM,10/23/2017
MCB,O‑MNB‑00051472,In Process,SSCIARAFFO,3:43:51 PM,10/13/2017
MCB,O‑MNB‑00051470,In Process,SSCIARAFFO,11:01:21 AM,10/11/2017
MCB,O‑MNB‑00051464,In Process,SSCIARAFFO,4:32:15 PM,9/28/2017
MCB,O‑MNB‑00051460,In Process,SSCIARAFFO,2:51:23 PM,9/21/2017
MCB,O‑MNB‑00051458,In Process,SSCIARAFFO,11:05:25 AM,9/12/2017
MCB,O‑MNB‑00051456,In Process,SSCIARAFFO,10:40:59 AM,9/7/2017
MCB,O‑MNB‑00051452,In Process,SSCIARAFFO,11:11:54 AM,8/25/2017
MCB,O‑MNB‑00051450,In Process,SSCIARAFFO,9:57:02 AM,8/23/2017
MCB,O‑MNB‑00051448,In Process,SSCIARAFFO,10:15:35 AM,8/11/2017
MCB,O‑MNB‑00041449,In Process,SSCIARAFFO,12:23:31 PM,8/2/2017
MCB,O‑MNB‑00041446,In Process,SSCIARAFFO,11:30:39 AM,7/28/2017
MCB,O‑MNB‑00041443,In Process,SSCIARAFFO,2:03:13 PM,7/19/2017
MCB,O‑MNB‑00041439,In Process,SSCIARAFFO,10:48:35 AM,7/19/2017
MCB,O‑MNB‑00041433,In Process,SSCIARAFFO,2:56:19 PM,7/11/2017
MCB,O‑MNB‑00041429,In Process,SSCIARAFFO,3:45:51 PM,7/5/2017
MCB,O‑MNB‑00041426,In Process,SSCIARAFFO,11:32:21 AM,6/27/2017
MCB,O‑MNB‑00041423,In Process,SSCIARAFFO,2:30:50 PM,6/23/2017
MCB,O‑MNB‑00041419,In Process,SSCIARAFFO,8:59:34 AM,6/16/2017
MCB,O‑MNB‑00041417,In Process,SSCIARAFFO,9:26:45 AM,6/13/2017
MCB,O‑MNB‑00041414,In Process,SSCIARAFFO,3:18:11 PM,6/1/2017
MCB,O‑MNB‑00041412,In Process,SSCIARAFFO,2:54:55 PM,5/31/2017
MCB,O‑MNB‑00041410,In Process,SSCIARAFFO,11:39:31 AM,5/9/2017
MCB,O‑MNB‑00041407,In Process,SSCIARAFFO,2:54:30 PM,5/3/2017
MCB,O‑MNB‑00041405,In Process,SSCIARAFFO,3:04:15 PM,5/1/2017
MCB,O‑MNB‑00041403,In Process,SSCIARAFFO,9:40:29 AM,4/13/2017
MCB,O‑MNB‑00041401,In Process,SSCIARAFFO,11:49:06 AM,4/12/2017
MCB,O‑MNB‑00041398,In Process,SSCIARAFFO,11:08:23 AM,4/5/2017
MCB,O‑MNB‑00041395,In Process,SSCIARAFFO,10:57:32 AM,4/5/2017
MCB,O‑MNB‑00041392,In Process,SSCIARAFFO,12:37:21 PM,3/13/2017
MCB,O‑MNB‑00031389,In Process,SSCIARAFFO,2:14:33 PM,2/17/2017
MCB,O‑MNB‑00031387,In Process,SSCIARAFFO,12:38:10 PM,1/24/2017
MCB,O‑MNB‑00031385,In Process,SSCIARAFFO,4:01:15 PM,1/17/2017
MCB,O‑MNB‑00031382,In Process,SSCIARAFFO,3:18:15 PM,1/6/2017
MCB,O‑MNB‑00031380,In Process,SSCIARAFFO,2:57:35 PM,1/3/2017
MCB,O‑MNB‑00031378,In Process,SSCIARAFFO,3:18:19 PM,12/2/2016
MCB,O‑MNB‑00031376,In Process,SSCIARAFFO,1:12:15 PM,11/23/2016
MCB,O‑MNB‑00031374,In Process,SSCIARAFFO,10:48:17 AM,11/23/2016
MCB,O‑MNB‑00031372,In Process,SSCIARAFFO,2:30:37 PM,11/21/2016
MCB,O‑MNB‑00031370,In Process,SSCIARAFFO,12:17:04 PM,11/10/2016
MCB,O‑MNB‑00031368,In Process,SSCIARAFFO,11:16:35 AM,11/8/2016
MCB,O‑MNB‑00031366,In Process,SSCIARAFFO,2:34:05 PM,11/7/2016
MCB,O‑MNB‑00031364,In Process,SSCIARAFFO,3:58:06 PM,10/28/2016
MCB,O‑MNB‑00031362,In Process,SSCIARAFFO,2:11:56 PM,10/17/2016
MCB,O‑MNB‑00031360,In Process,SSCIARAFFO,11:32:49 AM,10/5/2016
MCB,O‑MNB‑00031357,In Process,SSCIARAFFO,12:12:44 PM,9/23/2016
MCB,O‑MNB‑00031355,In Process,SSCIARAFFO,12:24:18 PM,9/22/2016
MCB,O‑MNB‑00031353,In Process,SSCIARAFFO,10:47:37 AM,9/15/2016
MCB,O‑MNB‑00031351,In Process,SSCIARAFFO,9:52:14 AM,8/12/2016
MCB,O‑MNB‑00031348,In Process,SSCIARAFFO,3:42:14 PM,7/28/2016
MCB,O‑MNB‑00031332,In Process,SSCIARAFFO,3:00:12 PM,7/15/2016
MCB,O‑MNB‑00031328,In Process,SSCIARAFFO,12:19:00 PM,6/24/2016
MCB,O‑MNB‑00031325,In Process,SSCIARAFFO,3:47:02 PM,6/6/2016
MCB,O‑MNB‑00031323,In Process,SSCIARAFFO,1:07:21 PM,5/12/2016
MCB,O‑MNB‑00031321,In Process,SSCIARAFFO,11:29:02 AM,5/10/2016
MCB,O‑MNB‑00031318,In Process,SSCIARAFFO,10:42:45 AM,5/2/2016
MCB,O‑MNB‑00031314,In Process,SSCIARAFFO,12:14:58 PM,4/27/2016
MCB,O‑MNB‑00031311,In Process,SSCIARAFFO,11:22:52 AM,4/19/2016
MCB,O‑MNB‑00031309,In Process,SSCIARAFFO,12:53:53 PM,4/11/2016
MCB,O‑MNB‑00031307,In Process,SSCIARAFFO,9:32:04 AM,3/4/2016
MCB,O‑MNB‑00031305,In Process,SSCIARAFFO,3:13:07 PM,2/24/2016
