Client,ID,Order Status,User,Time,Date
Mendes,O‑MM‑00011141,In Process,jdevirgilio,10:06:10 AM,2/26/2020
Mendes,O‑MM‑00011139,In Process,gelhilow,4:44:16 PM,2/18/2020
Mendes,O‑MM‑00011137,In Process,gelhilow,10:16:21 AM,1/27/2020
Mendes,O‑MM‑00011135,In Process,gelhilow,3:24:52 PM,11/8/2019
Mendes,O‑MM‑00011132,In Process,gelhilow,4:11:22 PM,9/11/2019
Mendes,O‑MM‑00011130,In Process,gelhilow,9:08:09 AM,7/11/2019
Mendes,O‑MM‑00011127,In Process,gelhilow,11:07:00 AM,5/31/2019
Mendes,O‑MM‑00011125,In Process,Clayton,9:35:26 AM,5/19/2019
Mendes,O‑MM‑00011123,In Process,gelhilow,5:17:11 PM,5/17/2019
Mendes,O‑MM‑00011121,In Process,gelhilow,3:36:58 PM,4/2/2019
Mendes,O‑MM‑00011119,In Process,gelhilow,2:22:11 PM,3/19/2019
Mendes,O‑MM‑00011117,In Process,gelhilow,11:06:37 AM,2/22/2019
Mendes,O‑MM‑00011114,In Process,gelhilow,4:34:30 PM,12/6/2018
Mendes,O‑MM‑00011112,In Process,jdevirgilio,10:50:06 AM,9/27/2018
Mendes,O‑MM‑00011110,In Process,gelhilow,4:55:00 PM,7/27/2018
Mendes,O‑MM‑00011108,In Process,gelhilow,12:28:04 PM,4/10/2018
Mendes,O‑MM‑00011106,In Process,gelhilow,4:30:47 PM,4/6/2018
Mendes,O‑MM‑00011099,In Process,gelhilow,5:10:04 PM,3/1/2018
Mendes,O‑MM‑00011097,In Process,gelhilow,11:34:49 AM,2/1/2018
Mendes,O‑MM‑00011095,In Process,gelhilow,12:53:08 PM,1/8/2018
Mendes,O‑MM‑00011091,In Process,gelhilow,4:58:15 PM,10/26/2017
Mendes,O‑MM‑00011088,In Process,gelhilow,4:34:24 PM,10/25/2017
Mendes,O‑MM‑00011086,In Process,gelhilow,3:50:34 PM,10/5/2017
Mendes,O‑MM‑00011079,In Process,jdevirgilio,12:24:22 PM,8/9/2017
Mendes,O‑MM‑00011077,In Process,jdevirgilio,9:58:47 AM,6/2/2017
Mendes,O‑MM‑00011075,In Process,jdevirgilio,8:54:50 AM,5/26/2017
Mendes,O‑MM‑00011073,In Process,jdevirgilio,1:30:51 PM,5/25/2017
Mendes,O‑MM‑00001007,In Process,Clayton,10:48:24 AM,11/18/2013
